Afghanistan,"Sunni Muslim 80%, Shia Muslim 19%, other 1%"
Russia,"Russian Orthodox 15-20%, Muslim 10-15%, other Christian 2% (2006 est.) 
      
      
        note: estimates are of practicing worshipers; Russia has large populations of non-practicing believers and non-believers, a legacy of over seven decades of Soviet rule"
Rwanda,"Roman Catholic 49.5%, Protestant 39.4% (includes Adventist 12.2% and other Protestant 27.2%), other Christian 4.5%, Muslim 1.8%, animist 0.1%, other 0.6%, none 3.6% (2001), unspecified 0.5% (2002 est.)"
Saint Barthelemy,"Roman Catholic, Protestant, Jehovah's Witnesses"
"Saint Helena, Ascension, and Tristan da Cunha","Protestant (Anglican (majority), Baptist, Seventh-Day Adventist), Roman Catholic"
Saint Kitts and Nevis,"Anglican, other Protestant, Roman Catholic"
Saint Lucia,"Roman Catholic 61.5%, Protestant 25.5% (includes Seventh Day Adventist 10.4%, Pentecostal 8.9%, Baptist 2.2%, Anglican 1.6%, Church of God 1.5%, other Protestant .9%), other Christian 3.4% (includes Evangelical 2.3% and Jehovah's Witness 1.1%), Rastafarian 1.9%, other 0.4%, none 5.9%, unspecified 1.4% (2010 est.)"
Saint Martin,"Roman Catholic, Jehovah's Witnesses, Protestant, Hindu"
Saint Pierre and Miquelon,"Roman Catholic 99%, other 1%"
Saint Vincent and the Grenadines,"Protestant 75% (Anglican 47%, Methodist 28%), Roman Catholic 13%, other (includes Hindu, Seventh-Day Adventist, other Protestant) 12%"
Samoa,"Protestant 57.4% (Congregationalist 31.8%, Methodist 13.7%, Assembly of God 8%, Seventh-Day Adventist 3.9%), Roman Catholic 19.4%, Mormon 15.2%, Worship Centre 1.7%, other Christian 5.5%, other 0.7%, none 0.1%, unspecified 0.1% (2011 est.)"
San Marino,Roman Catholic
Sao Tome and Principe,"Catholic 55.7%, Adventist 4.1%, Assembly of God 3.4%, New Apostolic 2.9%, Mana 2.3%, Universal Kingdom of God 2%, Jehovah's Witness 1.2%, other 6.2%, none 21.2%, unspecified 1% (2012 est.)"
Saudi Arabia,"Muslim (official; citizens are 85-90% Sunni and 10-15% Shia), other (includes Eastern Orthodox, Protestant, Roman Catholic, Jewish, Hindu, Buddhist, and Sikh) (2012 est.) 
      
      
        note: despite having a large expatriate community of various faiths (more than 30% of the population), most forms of public religious expression inconsistent with the government-sanctioned interpretation of Sunni Islam are restricted; non-Muslims are not allowed to have Saudi citizenship and non-Muslim places of worship are not permitted (2013) (2012 est.)"
Senegal,"Muslim 94% (most adhere to one of the four main Sufi brotherhoods), Christian 5% (mostly Roman Catholic), indigenous beliefs 1%"
Serbia,"Serbian Orthodox 84.6%, Catholic 5%, Muslim 3.1%, Protestant 1%, atheist 1.1%, other 0.8%, undeclared or unknown 4.5% (2011 est.)"
Seychelles,"Roman Catholic 76.2%, Protestant 10.6% (Anglican 6.1%, Pentecoastal Assembly 1.5%, Seventh-Day Adventist 1.2%, other Protestant 1.6), other Christian 2.4%, Hindu 2.4%, Muslim 1.6%, other non-Christian 1.1%, unspecified 4.8%, none 0.9% (2010 est.)"
Sierra Leone,"Muslim 60%, Christian 10%, indigenous beliefs 30%"
Singapore,"Buddhist 33.9%, Muslim 14.3%, Taoist 11.3%, Catholic 7.1%, Hindu 5.2%, other Christian 11%, other 0.7%, none 16.4% (2010 est.)"
Sint Maarten,"Roman Catholic 39%, Protestant 44.8% (Pentecostal 11.6%, Seventh-Day Adventist 6.2%, other Protestant 27%), none 6.7%, other 5.4%, Jewish 3.4%, not reported 0.7% (2001 census)"
Slovakia,"Roman Catholic 62%, Protestant 8.2%, Greek Catholic 3.8%, other or unspecified 12.5%, none 13.4% (2011 est.)"
Slovenia,"Catholic 57.8%, Muslim 2.4%, Orthodox 2.3%, other Christian 0.9%, unaffiliated 3.5%, other or unspecified 23%, none 10.1% (2002 census)"
Solomon Islands,"Protestant 73.4% (Church of Melanesia 31.9%, South Sea Evangelical 17.1%, Seventh Day Adventist 11.7%, United Church 10.1%, Christian Fellowship Church 2.5%), Roman Catholic 19.6%, other Christian 2.9%, other 4%, none 0.03%, unspecified 0.1% (2009 est.)"
Somalia,"Sunni Muslim (Islam) (official, according to the Transitional Federal Charter)"
South Africa,"Protestant 36.6% (Zionist Christian 11.1%, Pentecostal/Charismatic 8.2%, Methodist 6.8%, Dutch Reformed 6.7%, Anglican 3.8%), Catholic 7.1%, Muslim 1.5%, other Christian 36%, other 2.3%, unspecified 1.4%, none 15.1% (2001 census)"
South Sudan,"animist, Christian"
Spain,"Roman Catholic 94%, other 6%"
Sri Lanka,"Buddhist (official) 69.1%, Muslim 7.6%, Hindu 7.1%, Christian 6.2%, unspecified 10% (2001 census provisional data)"
Sudan,"Sunni Muslim, small Christian minority"
Suriname,"Hindu 27.4%, Protestant 25.2% (predominantly Moravian), Roman Catholic 22.8%, Muslim 19.6%, indigenous beliefs 5%"
Swaziland,"Zionist 40% (a blend of Christianity and indigenous ancestral worship), Roman Catholic 20%, Muslim 10%, other (includes Anglican, Baha'i, Methodist, Mormon, Jewish) 30%"
Sweden,"Lutheran 87%, other (includes Roman Catholic, Orthodox, Baptist, Muslim, Jewish, and Buddhist) 13%"
Switzerland,"Roman Catholic 38.2%, Protestant 26.9%, Muslim 4.9%, other Christian 5.7%, other 1.6%, none 21.4%, unspecified 1.3% (2012 est.)"
Syria,"Muslim 87% (official; includes Sunni 74% and Alawi, Ismaili, and Shia 13%), Christian (includes Orthodox, Uniate, and Nestorian) 10% (includes Orthodox, Uniate, and Nestorian), Druze 3%, Jewish (few remaining in Damascus and Aleppo)"
Taiwan,"mixture of Buddhist and Taoist 93%, Christian 4.5%, other 2.5%"
Tajikistan,"Sunni Muslim 85%, Shia Muslim 5%, other 10% (2003 est.)"
Tanzania,"mainland - Christian 30%, Muslim 35%, indigenous beliefs 35%; Zanzibar - more than 99% Muslim"
Thailand,"Buddhist (official) 93.6%, Muslim 4.9%, Christian 1.2%, other 0.2%, none 0.1% (2010 est.)"
Timor-Leste,"Roman Catholic 96.9%, Protestant / Evangelical 2.2%, Muslim 0.3%, other 0.6% (2005)"
Togo,"Christian 29%, Muslim 20%, indigenous beliefs 51%"
Tokelau,"Congregational Christian Church 58.2%, Roman Catholic 36.6%, Presbyterian 1.8%, other Christian 2.8%, Spiritualism and New Age 0.1%, unspecified 0.5% (2011 est.)"
Tonga,"Protestant 64.9% (includes Free Wesleyan Church 37.3%, Free Church of Tonga 11.4%, Church of Tonga 7.2%, Tokaikolo Christian Church 2.6%, Assembly of God 2.3% Seventh Day Adventist 2.2%, Constitutional Church of Tonga .9%, Anglican .8% and Full Gospel Church .2%), Mormon 16.8%, Roman Catholic 15.6%, other 1.1%, none 0.03%, unspecified 1.7% (2006 est.)"
Trinidad and Tobago,"Protestant 32.1% (Pentecostal/Evangelical/Full Gospel 12%, Baptist 6.9%, Anglican 5.7%, Seventh-Day Adventist 4.1%, Presbyterian/Congretational 2.5, other Protestant .9), Roman Catholic 21.6%, Hindu 18.2%, Muslim 5%, Jehovah's Witness 1.5%, other 8.4%, none 2.2%, unspecified 11.1% (2011 est.)"
Tunisia,"Muslim (official; Sunni) 99.1%, other (includes Christian, Jewish, Shia Muslim, and Baha'i) 1%"
Turkey,"Muslim 99.8% (mostly Sunni), other 0.2% (mostly Christians and Jews)"
Turkmenistan,"Muslim 89%, Eastern Orthodox 9%, unknown 2%"
Turks and Caicos Islands,"Protestant 72.8% (Baptist 35.8%, Church of God 11.7%, Anglican 10%, Methodist 9.3%, Seventh-Day Adventist 6%), Roman Catholic 11.4%, Jehovah's Witnesses 1.8%, other 14%"
Tuvalu,"Protestant 98.4% (Church of Tuvalu (Congregationalist) 97%, Seventh-Day Adventist 1.4%), Baha'i 1%, other 0.6%"
Uganda,"Roman Catholic 41.9%, Protestant 42% (Anglican 35.9%, Pentecostal 4.6%, Seventh-Day Adventist 1.5%), Muslim 12.1%, other 3.1%, none 0.9% (2002 census)"
Ukraine,"Orthodox (includes Ukrainian Autocephalous Orthodox (UAOC), Ukrainian Orthodox - Kyiv Patriarchate (UOC-KP), Ukrainian Orthodox - Moscow Patriarchate (UOC-MP), Ukrainian Greek Catholic, Roman Catholic, Protestant, Muslim, Jewish 
      
      
        note: Ukraine's population is overwhelmingly Christian; the vast majority - up to two-thirds - identify themselves as Orthodox, but many do not specify a particular branch; the UOC-KP and the UOC-MP each represent less than a quarter of the country's population, the Ukrainian Greek Catholic Church accounts for 8-10%, and the UAOC accounts for 1-2%; Muslim and Jewish adherents each compose less than 1% of the total population (2013 est.)"
United Arab Emirates,"Muslim (Islam; official) 76%, Christian 9%, other (primarily Hindu and Buddhist, less than 5% of the population consists of Parsi, Baha'i, Druze, Sikh, Ahmadi, Ismaili, Dawoodi Bohra Muslim, and Jewish) 15% 
      
      
        note: represents the total population; about 85% of the population consists of noncitizens (2005 est.)"
United Kingdom,"Christian (includes Anglican, Roman Catholic, Presbyterian, Methodist) 59.5%, Muslim 4.4%, Hindu 1.3%, other 2%, none 25.7%, unspecified 7.2% (2011 est.)"
United States,"Protestant 51.3%, Roman Catholic 23.9%, Mormon 1.7%, other Christian 1.6%, Jewish 1.7%, Buddhist 0.7%, Muslim 0.6%, other or unspecified 2.5%, unaffiliated 12.1%, none 4% (2007 est.)"
Uruguay,"Roman Catholic 47.1%, non-Catholic Christians 11.1%, nondenominational 23.2%, Jewish 0.3%, atheist or agnostic 17.2%, other 1.1% (2006)"
Uzbekistan,"Muslim 88% (mostly Sunni), Eastern Orthodox 9%, other 3%"
Vanuatu,"Protestant 70% (includes Presbyterian 27.9%, Anglican 15.1%, Seventh Day Adventist 12.5%, Assemblies of God 4.7%, Church of Christ 4.5%, Neil Thomas Ministry 3.1%, and Apostolic 2.2%), Roman Catholic 12.4%, customary beliefs 3.7% (including Jon Frum cargo cult), other 12.6%, none 1.1%, unspecified 0.2% (2009 est.)"
Venezuela,"nominally Roman Catholic 96%, Protestant 2%, other 2%"
Vietnam,"Buddhist 9.3%, Catholic 6.7%, Hoa Hao 1.5%, Cao Dai 1.1%, Protestant 0.5%, Muslim 0.1%, none 80.8% (1999 census)"
Virgin Islands,"Protestant 59% (Baptist 42%, Episcopalian 17%), Roman Catholic 34%, other 7%"
Wallis and Futuna,"Roman Catholic 99%, other 1%"
West Bank,"Muslim 80.0 - 85.0% (predominantly Sunni), Jewish 12.0 - 14.0%, Christian 1.0 - 2.5% (mainly Greek Orthodox), other, unaffiliated, unspecified 
      
        note: the proportion of Christians continues to fall mainly as a result of the growth of the Muslim population but also because of the migration and the declining birth rate of the Christian population (2012 est.)"
Western Sahara,Muslim
World,"Christian 33.39% (of which Roman Catholic 16.85%, Protestant 6.15%, Orthodox 3.96%, Anglican 1.26%), Muslim 22.74%, Hindu 13.8%, Buddhist 6.77%, Sikh 0.35%, Jewish 0.22%, Baha'i 0.11%, other religions 10.95%, non-religious 9.66%, atheists 2.01% (2010 est.)"
Yemen,"Muslim 99.1% (official; virtually all are citizens, an estimated 65% are Sunni and 35% are Shia), other 0.9% (includes Jewish, Baha'i, Hindu, and Christian; many are refugees or temporary foreign residents) (2010 est.)"
Zambia,"Protestant 75.3%, Roman Catholic 20.2%, other 2.7% (includes Muslim Buddhist, Hindu, and Baha'i), none 1.8% (2010 est.)"
Zimbabwe,"syncretic (part Christian, part indigenous beliefs) 50%, Christian 25%, indigenous beliefs 24%, Muslim and other 1%"
