Afghanistan,note - the Ministry of Justice licensed 84 political parties as of December 2012
Colombia,"Alternative Democratic Pole or PDA [Clara LOPEZ] 
      
      Conservative Party or PC [Omar YEPES Alzate] 
      
      Democratic Center Party or CD [Alvaro URIBE Velez] 
      
      Green Party [Alfonso PRADA] 
      
      Liberal Party or PL [Simon GAVIRIA Munoz] 
      
      National Integration Party or PIN [Angel ALIRIO Moreno] 
      
      Radical Change or CR [Carlos Fernando GALAN] 
      
      Social National Unity Party or U Party [Sergio Diaz GANADOS] 
      
      
        note: Colombia has seven major political parties, and numerous smaller movements"
Comoros,"Camp of the Autonomous Islands or CdIA (a coalition of parties organized by the islands' presidents in opposition to the Union President) 
      
      Convention for the Renewal of the Comoros or CRC [AZALI Assowmani] 
      
      Front National pour la Justice or FNJ [Ahmed RACHID] (Islamic party in opposition) 
      
      Mouvement pour la Democratie et le Progress or MDP-NGDC [Abbas DJOUSSOUF] 
      
      Parti Comorien pour la Democratie et le Progress or PCDP [Ali MROUDJAE] 
      
      Rassemblement National pour le Development or RND [Omar TAMOU, Abdoulhamid AFFRAITANE]"
"Congo, Democratic Republic of the","Christian Democrat Party or PDC [Jose ENDUNDO] 
      
      Congolese Rally for Democracy or RCD [Azarias RUBERWA] 
      
      Convention of Christian Democrats or CDC 
      
      Forces of Renewal or FR [Mbusa NYAMWISI] 
      
      Movement for the Liberation of the Congo or MLC [Jean-Pierre BEMBA] 
      
      People's Party for Reconstruction and Democracy or PPRD [Evariste BOSHAB] 
      
      Social Movement for Renewal or MSR [Pierre LUMBI] 
      
      Unified Lumumbist Party or PALU [Antoine GIZENGA] 
      
      Union for the Congolese Nation or UNC [Vital KAMERHE] 
      
      Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI] 
      
      Union of Mobutuist Democrats or UDEMO [MOBUTU Nzanga]"
"Congo, Republic of the","Action Movement for Renewal or MAR 
      
      Congolese Labour Party or PCT 
      
      Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA] 
      
      Movement for Solidarity and Development or MSD 
      
      Pan-African Union for Social Development or UPADS [Martin MBERI] 
      
      Rally for Democracy and the Republic or RDR [Raymond Damasge NGOLLO] 
      
      Rally for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president] 
      
      Rally of the Presidential Majority or RMP 
      
      Union for Democracy and Republic or UDR 
      
      United Democratic Forces or FDU [Sebastian EBAO] 
      
      many smaller parties"
Cook Islands,"Cook Islands Party or CIP [Henry PUNA] 
      
      Democratic Party or Demo [Dr. Terepai MAOATE]"
Costa Rica,"Accessibility Without Exclusion or PASE [Oscar Andres LOPEZ Arias] 
      
      Citizen Action Party or PAC [Olivier PEREZ Gonzalez] 
      
      Costa Rican Renovation Party or PRC [Gerardo Justo OROZCO Alvarez] 
      
      Broad Front (Frente Amplio) or PFA [Ana Patricia MORA] 
      
      Libertarian Movement Party or ML [Victor Danilo CUBERO Corrales] 
      
      National Integration Party or PIN [Walter MUNOZ Cespedes] 
      
      National Liberation Party or PLN [Bernal JIMENEZ] 
      
      National Restoration Party or PRN [Carlos AVENDANO] 
      
      Patriotic Alliance [Jorge ARAYA Westover] 
      
      Popular Vanguard [Humberto VARGAS] 
      
      Social Christian Unity Party or PUSC [Gerardo VARGAS]"
Cote d'Ivoire,"Citizen's Democratic Union or UDCY [Theodore MEL EG] 
      
      Democracy and Liberty for the Republic or LIDER [Mamadou KOULIBALY] 
      
      Democratic Party of Cote d'Ivoire or PDCI [Henri Konan BEDIE] 
      
      Ivorian Popular Front or FPI [Pascal AFFI NGUESSAN] 
      
      Ivorian Worker's Party or PIT [Daniel AKA AHIZ] 
      
      Movement of the Future Forces or MFA [Innocent Augustin ANAKY KOBENA] 
      
      Rally of the Republicans or RDR [Alassane OUATTARA] 
      
      Union for Democracy and Peace in Cote d'Ivoire or UDPCI [Toikeuse MABRI] 
      
      over 144 smaller registered parties"
Croatia,"Bosniak Democratic Party of Croatia or BDSH [Medzad HODZIC] 
      
      Croatian Civic Party or HGS [Zeljko KERUM] 
      
      Croatian Democratic Congress of Slavonia and Baranja or HDSSB [Vladimir SISLJAGIC] 
      
      Croatian Democratic Union or HDZ [Tomislav KARAMARKO] 
      
      Croatian Laborists - Labor Party [Dragutin LESAR] 
      
      Croatian Party of Rights - dr. Ante Starcevic or HSP AS [Ruza TOMASIC] 
      
      Croatian Peasant Party or HSS [Branko HRG] 
      
      Croatian Pensioner Party or HSU [Silvano HRELJA] 
      
      Croatian People's Party - Liberal Democrats or HNS [Vesna PUSIC] 
      
      Croatian Pure Party of Rights or HCSP [Josip MILJIC] 
      
      Democratic Centre or DC [Vesna SKARE-OZBOLT] 
      
      HDZ-led Coalition [Tomislav KARAMARKO] (includes HDZ, HGS, and DC) 
      
      Independent Democratic Serb Party or SDSS [Vojislav STANIMIROVIC] 
      
      Independent List of Ivan Grubisic [Ivan GRUBISIC] 
      
      Istrian Democratic Assembly or IDS [Ivan JAKOVCIC] 
      
      Kukuriku Coalition [Zoran MILANOVIC] (includes SDP, HNS, IDS, and HSU) 
      
      Social Democratic Party of Croatia or SDP [Zoran MILANOVIC] 
      
      Sustainable Development for Croatia or ORaH [Mirela HOLY]"
Cuba,"Cuban Communist Party or PCC [Raul CASTRO Ruz, first secretary]"
Curacao,"Frente Obrero Liberashon (Workers' Liberation Front) or FOL [Anthony GODETT] 
      
      Movementu Futuro Korsou or MFK [Gerrit SCHOTTE] 
      
      Movishon Antia Nobo or MAN [Eunice EISDEN] 
      
      Partido Antia Restruktura or PAR [Emily DE JONGH-ELHAGE] 
      
      Partido pa Adelanto I Inovashon Soshal or PAIS [Alex ROSARIA] 
      
      Partido Nashonal di Pueblo or PNP [Humphrey DAVELAAR] 
      
      Pueblo Soberano or PS [Helmin WIELS]"
Cyprus,"area under government control:  
      
      Citizens' Alliance or SP [Giorgos LILLIKAS] 
      
      Democratic Party or DIKO [Nicolas PAPADOPOULOS] 
      
      Democratic Rally or DISY [Averof NEOPHYTOU (Neofytou)] 
      
      European Party or EVROKO [Dimitris SYLLOURIS] 
      
      Ecological and Environmental Movement of KOP (Green Party) [Giorgos PERDIKIS] 
      
      Movement of Social Democrats or KS-EDEK [Yiannakis OMIROU] 
      
      National Popular Front or ELAM [Christos CHRISTOU] 
      
      Progressive Party of the Working People or AKEL (Communist Party) [Andros KYPRIANOU] 
      
      Frontt for the Restoration of the Center or EPALXI [Kypros CHRYSOSTOMIDIS] 
      
      United Democrats or EDI [Praxoula ANTONIADOU] 
      
      
        area administered by Turkish Cypriots: 
      
      Communal Democracy Party or TDP [Cemal OZYIGIT] 
      
      Cyprus Socialist Party or KSP [Mehmet BIRINCI] 
      
      Democrat Party- National Forces or DP-UG [Serdar DENKTAS] 
      
      National Unity Party or UBP [Huseyin OZGURGUN] 
      
      New Cyprus Party or YKP [Murat KANATLI] 
      
      Republican Turkish Party-United Forces or CTP-BG [Ozkan YORGANCIOGLU] 
      
      United Cyprus Party or BKP [Izzet IZCAN]"
Czech Republic,"Association of Independent Candidates-European Democrats or SNK-ED [Zdenka MARKOVA] 
      
      Christian Democratic Union-Czechoslovak People's Party or KDU-CSL [Pavel BELOBRADEK] 
      
      Civic Democratic Party or ODS [Petr FIALA] 
      
      Communist Party of Bohemia and Moravia or KSCM [Vojtech FILIP] 
      
      Czech Pirate Party [Ivan BARTOS] 
      
      Czech Social Democratic Party or CSSD [Bohuslav SOBOTKA] 
      
      Dawn of Direct Democracy or Usvit [Tomio OKAMURA] 
      
      Green Party [Ondrej LISKA] 
      
      Liberal Democrats or LIDEM [Dagmar NAVRATILOVA] 
      
      Liberal Environmental Party or LES [Martin BURSYK] 
      
      Movement of Dissatisfied Citizens or ANO [Andrej BABIS] 
      
      North Bohemians 
      
      Ostravak Movement 
      
      Public Affairs or VV [Radek JOHN] 
      
      Tradition Responsibility Prosperity 09 or TOP 09 [Karel SCHWARZENBERG]"
Denmark,"Conservative People's Party or C [Lars BARFOED] 
      
      Danish People's Party or DF [Kristian THULESEN DAHL] 
      
      Liberal Alliance or LA [Anders SAMUELSEN] 
      
      Liberal Party or V [Lars LOKKE RAMUSSEN] 
      
      Red-Green Alliance (Unity List) or O [collective leadership, spokesperson Johanne SCHMIDT-NIELSEN] 
      
      Social Democratic Party or SDP [Helle THORNING-SCHMIDT] 
      
      Social Liberal Party or SLP [Margrethe VESTAGER] 
      
      Socialist People's Party or SF [Annette VILHELMSEN]"
Djibouti,"Democratic National Party or PND [ADEN Robleh Awaleh] 
      
      Democratic Renewal Party or PRD [Abdillahi HAMARITEH] 
      
      Djibouti Development Party or PDD [Mohamed Daoud CHEHEM] 
      
      Front pour la Restauration de l'Unite Democratique or FRUD [Ali Mohamed DAOUD] 
      
      Movement for Development and Liberty or MODEL [Sheikh Guirreh MEIDAL] 
      
      People's Rally for Progress or RPP [Ismail Omar GUELLEH] (governing party) 
      
      Peoples Social Democratic Party or PPSD [Moumin Bahdon FARAH] 
      
      Republican Alliance for Democracy or ARD [Ahmed YOUSSOUF] 
      
      Union for a Presidential Majority or UMP (a coalition of parties including RPP, FRUD, PND, and PPSD) 
      
      Union for Democracy and Justice or UDJ [Ismail GUEDI Hared] 
      
      Union for National Salvation or USN (an umbrella coalition comprising PRD, PDD, MODEL, ARD, and UDJ) [Ahmed Youssouf HOUMER]"
Dominica,"Dominica Freedom Party or DFP [Judith PESTAINA] 
      
      Dominica Labor Party or DLP [Roosevelt SKERRIT] 
      
      Dominica United Workers Party or UWP [Hector JOHN]"
Dominican Republic,"Dominican Liberation Party or PLD [Leonel FERNANDEZ Reyna] 
      
      Dominican Revolutionary Party or PRD [Miguel VARGAS Maldonado] 
      
      National Progressive Front [Vinicio CASTILLO, Pelegrin CASTILLO] 
      
      Social Christian Reformist Party or PRSC [Carlos MORALES Troncoso]"
Ecuador,"Alianza PAIS movement [Rafael Vicente CORREA Delgado] 
      
      Avanza Party or AVANZA [Ramiro GONZALEZ] 
      
      Creating Opportunities Movement or CREO [Guillermo LASSO] 
      
      Institutional Renewal and National Action Party or PRIAN [Alvaro NOBOA] 
      
      Pachakutik Plurinational Unity Movement or MUPP [Rafael ANTUNI] 
      
      Patriotic Society Party or PSP [Lucio GUTIERREZ Borbua] 
      
      Popular Democracy Movement or MPD [Luis VILLACIS] 
      
      Roldosist Party or PRE 
      
      Social Christian Party or PSC [Pascual DEL CIOPPO] 
      
      Socialist Party [Fabian SOLANO] 
      
      Society United for More Action or SUMA [Mauricio RODAS] 
      
      Warrior's Spirit Movement [Jaime NEBOT]"
Egypt,"Al-Asala [Ehab SHIHA] 
      
      Al-Nour [Yunis MAKHYUN] 
      
      Al-Wasat Party [Abou Elela MADY] 
      
      Al-Watan [Imad Abd al-GHAFUR] 
      
      Building and Development Party or BDP [Nasr Abdul-SALAM] 
      
      Dustour (Constitution) Party [Hala SHUKRALLAH] 
      
      Egyptian Current Party 
      
      Egypt of Freedom Party [Amr HAMZAWY] 
      
      El Tagamu'u Party [Sayed Abdel AAL] 
      
      Freedom and Justice Party [Muhammad Saad al-KATATNI] 
      
      Free Egyptians Party [Ahmad SAID] 
      
      New Wafd Party [Sayed al-BADADWI] 
      
      Reform and Development Party [Muhammad Anwar al-SADAT] 
      
      Strong Egypt Party [Abdel Aboul FOTOUH] 
      
      The Conference Party [Ambassador Mohamed ORABI] 
      
      The Egyptian Social Democratic Party [Mohamed Aboul GHAR] 
      
      The Popular Current Party [Hamdeen SABAHI] 
      
      The Popular Socialist Alliance Party [Abdel Ghafar SHOUKR]"
El Salvador,"Democratic Change (Cambio Democratico) or CD [Douglas AVILES] (formerly United Democratic Center or CDU) 
      
      Farabundo Marti National Liberation Front or FMLN [Medardo GONZALEZ] 
      
      Great Alliance for National Unity or GANA [Jose Andres ROVIRA Caneles] 
      
      National Coalition (Concertation Nacional) or CN [Manuel RODRIGUEZ] (formerly the National Conciliation Party or PCN) 
      
      Nationalist Republican Alliance or ARENA [Jorge VELADO] 
      
      Party of Hope or PES [Rodolfo Antonio PARKER Soto] (formerly the Christian Democratic Party or PCD) 
      
      Unidos por El Salvador [Manuel Rigoberto SOTO Lazo]"
Equatorial Guinea,"Convergence Party for Social Democracy or CPDS [Andres Esono ONDO] 
      
      Democratic Party for Equatorial Guinea or PDGE [Jeronimo Osa Osa ECORO] (ruling party) 
      
      Electoral Coalition or EC 
      
      Party for Progress of Equatorial Guinea or PPGE [Severo MOTO] 
      
      Popular Action of Equatorial Guinea or APGE [Carmelo Mba BACALE] 
      
      Popular Union or UP [Daniel MARTINEZ Ayecaba]"
Eritrea,"People's Front for Democracy and Justice or PFDJ [ISAIAS Afworki] (the only party recognized by the government); note - a National Assembly committee drafted a law on political parties in January 2001, but the full National Assembly never debated or voted on it"
Estonia,"Center Party of Estonia (Keskerakond) [Edgar SAVISAAR] 
      
      Estonian Greens (Rohelised) [Aleksander LAANE] 
      
      Estonian Conservative People's Party (Konservatiivne Rahvaerakond) or EKRE [Mart HELME] 
      
      Estonian Reform Party (Reformierakond) [Taavi ROIVAS] 
      
      Social Democratic Party or SDE [Sven MIKSER] 
      
      Union of Pro Patria and Res Publica (Isamaa je Res Publica Liit) or IRL [Urmas REINSALU]"
Ethiopia,"Afar National Democratic Party or ANDP [Mohammed KEDIR] 
      
      All Ethiopian Unity Organization or AEUO [Hailu SHAWEL] 
      
      Arena Tigray [GEBRU Asrat] 
      
      Argoba People's Democratic Organization or APDO [Abdulkader MOHAMMED] 
      
      Benishangul Gumuz People's Democratic Party or BGPDP [Mulualem BESSE] 
      
      Coalition for Unity and Democratic Party or CUDP [AYELE Chamiso] 
      
      Ethiopian Democratic Party or EDP [MUSHE Semu] 
      
      Ethiopian Federal Democratic Forum or FORUM (a UDJ-led 6-party alliance established for the 2010 parliamentary elections) [Dr. Moga FRISSA] 
      
      Ethiopian People's Revolutionary Democratic Front or EPRDF (including the following organizations: Amhara National Democratic Movement or ANDM; Oromo People's Democratic Organization or OPDO; Southern Ethiopian People's Democratic Movement or SEPDM; and Tigray People's Liberation Front or TPLF) 
      
      Gambella Peoples Unity Democratic Movement or GPUDM 
      
      Gurage Peoples Democratic Front [GIRMA Bogale] 
      
      Harari National League or HNL [YASIN Husein] 
      
      Oromo Federalist Democratic Movement or OFDM 
      
      Oromo People's Congress or OPC [IMERERA Gudina] 
      
      Somali Democratic Alliance Forces or SODAF [BUH Hussien] 
      
      Somali People's Democratic Party or SPDP [Abdulfetah Sheck ABDULAHI] 
      
      South Ethiopian People's Democratic Union or SEPDU [TILAHUN Endeshaw] 
      
      United Ethiopian Democratic Forces or UEDF [BEYENE Petros] 
      
      Unity for Democracy and Justice or UDJ [Dr. NEGASSO Gidada]"
European Union,"Confederal Group of the European United Left-Nordic Green Left or GUE/NGL [Gabriele ZIMMER] 
      
      Europe of Freedom and Democracy Group or EFD [Nigel FARAGE and Francesco SPERONI] 
      
      European Conservatives and Reformists Group or ECR [Martin CALLANAN] 
      
      Group of Greens/European Free Alliance or Greens/EFA [Rebecca HARMS and Daniel COHN-BENDIT] 
      
      Group of the Alliance of Liberals and Democrats for Europe or ALDE [Guy VERHOFSTADT] 
      
      Group of the European People's Party or EPP [Joseph DAUL] 
      
      Group of the Progressive Alliance of Socialists and Democrats or S&D [Hannes SWOBODA]"
Falkland Islands (Islas Malvinas),none; all independents
Faroe Islands,"Center Party (Midflokkurin) [Jenis av RANA] 
      
      Independence Party (Sjalvstyrisflokkurin) [Kari P. HOJGAARD] 
      
      People's Party (Folkaflokkurin) [Jorgen NICLASEN] 
      
      Progressive Party (Framsokn) [Poul MICHELSEN] 
      
      Republican Party (Tjodveldi) [Hogni HOYDAL] 
      
      Social Democratic Party (Javnadarflokkurin) [Aksel JOHANNESEN] 
      
      Union Party (Sambandsflokkurin) [Kaj Leo JOHANNESEN]"
Fiji,"Dodonu Ni Taukei Party or DNT [Fereti S. DEWA] 
      
      Fiji Democratic Party or FDP [Filipe BOLE] (a merger of the Christian Democrat Alliance or VLV [Poesci Waqalevu BUNE], Fijian Association Party or FAP, Fijian Political Party or SVT [Sitiveni RABUKA] (primarily Fijian), and New Labor Unity Party or NLUP [Ofa SWANN]) 
      
      Fiji Labor Party or FLP [Mahendra CHAUDHRY] 
      
      General Voters Party or GVP (became part of United General Party) 
      
      Girmit Heritage Party or GHP 
      
      Justice and Freedom Party or AIM 
      
      Lio 'On Famor Rotuma Party or LFR 
      
      National Federation Party or NFP [Pramond RAE] (primarily Indian) 
      
      Nationalist Vanua Takolavo Party or NVTLP [Saula TELAWA] 
      
      Party of National Unity or PANU [Ponipate LESAVUA] 
      
      Party of the Truth or POTT 
      
      United Fiji Party/Sogosogo Duavata ni Lewenivanua or SDL [Laisenia QARASE] 
      
      United Peoples Party or UPP [Millis Mick BEDDOES]"
Finland,"Center Party or Kesk [Juha SIPILA] 
      
      Christian Democrats or KD [Paivi RASANEN] 
      
      Green League or Vihr [Ville NIINISTO] 
      
      Left Alliance or Vas [Paavo ARHINMAKI] 
      
      National Coalition Party or Kok [Jyrki KATAINEN] 
      
      Social Democratic Party or SDP [Jutta URPILAINEN] 
      
      Swedish People's Party or SFP [Carl HAGLUND] 
      
      The Finns Party or PS [Timo SOINI]"
France,"Europe Ecology - The Greens or EELV [Emmanuelle COSSE] 
      
      French Communist Party or PCF [Pierre LAURENT] 
      
      Left Front Coalition or FDG [Jean-Luc MELENCHON] 
      
      Left Party or PG [Jean-Luc MELENCHON and Martine BILLARD] 
      
      Left Radical Party or PRG [Jean-Michel BAYLET] (previously Radical Socialist Party or PRS and the Left Radical Movement or MRG) 
      
      Movement for France or MPF [Philippe DE VILLIERS] 
      
      National Front or FN [Marine LE PEN] 
      
      New Anticapitalist Party or NPA [collective leadership; main spokesperson Christine POUPIN] 
      
      New Center or NC [Herve MORIN] 
      
      Radical Party [Jean-Louis BORLOO] 
      
      Rally for France or RPF [Charles PASQUA] 
      
      Republican and Citizen Movement or MRC [Jean-Luc LAURENT] 
      
      Socialist Party or PS [Haerlem DESIR] 
      
      United Republic or RS [Dominique DE VILLEPIN] 
      
      Union for a Popular Movement or UMP [Jean-Francois COPE] 
      
      Union des Democrates et Independants or UDI [Jean-Louis BORLOO] and Democratic Movement or MoDem [Francois BAYROU] (previously Union for French Democracy or UDF); together known as UDI-Modem 
      
      Worker's Struggle (Lutte Ouvriere) or LO [collective leadership; spokespersons Nathalie ARTHAUD and Arlette LAQUILLER]"
French Polynesia,"A Tia Porinetia [Teva ROHFRITSCH] 
      
      Alliance for a New Democracy or ADN (includes the parties The New Star and This Country is Yours) 
      
      New Fatherland Party (Ai'a Api) [Emile Vernaudon] 
      
      Our Home alliance 
      
      People's Servant Party (Tavini Huiraatira) [Oscar TEMARU] 
      
      Popular Rally (Tahoeraa Huiraatira) [Gaston FLOSSE] 
      
      Union for Democracy alliance or UPD [Oscar TEMARU]"
Gabon,"Alliance for National Rebirth or ARENA [Richard MOULOMBA] 
      
      Circle of Liberal Reformers or CLR [General Jean Boniface ASSELE] 
      
      Congress for Democracy and Justice or CDJ [Jules Aristide Bourdes OGOULIGUENDE] 
      
      Democratic and Republican Alliance or ADERE [Divungui-di-Ndinge DIDJOB] 
      
      Gabonese Democratic Party or PDG [Ali BONGO ONDIMBA] 
      
      Gabonese Party for Progress or PGP [Benoit Mouity NZAMBA] 
      
      Gabonese Union for Democracy and Development or UGDD [Zacharie MYBOTO] 
      
      Independent Center Party of Gabon or PGCI [Luccheri GAHILA] 
      
      National Rally of Woodcutters-Democratic or RNB-D [Pierre Andre KOMBILA] 
      
      National Rally of Woodcutters-Rally for Gabon or RNB-RPG (Bucherons) [Fr. Paul M'BA-ABESSOLE] 
      
      Party of Development and Social Solidarity or PDS [Seraphin Ndoat REMBOGO] 
      
      Social Democratic Party or PSD [Pierre Claver MAGANGA-MOUSSAVOU] 
      
      Union for Democracy and Social Integration or UDIS 
      
      Union for the New Republic or UPRN [Louis Gaston MAYILA] 
      
      Union of Gabonese People or UPG [Mathieu Mboumba NZIENGUI (until the next Congress)]"
"Gambia, The","Alliance for Patriotic Reorientation and Construction or APRC [Yahya JAMMEH] (the ruling party) 
      
      Gambia People's Democratic Party or GPDP [Henry GOMEZ] 
      
      National Alliance for Democracy and Development or NADD [Halifa SALLAH] 
      
      National Convention Party or NCP [Sheriff DIBBA] 
      
      National Reconciliation Party or NRP [Hamat BAH] 
      
      People's Democratic Organization for Independence and Socialism or PDOIS [Halifa SALLAH] 
      
      United Democratic Party or UDP [Ousainou DARBOE]"
Georgia,"Christian Democratic Movement [Giorgi AKHVELDIANI] 
      
      Conservative Party [Zviad DZIDZIGURI] 
      
      European Democrats [Paata DAVITAIA] 
      
      For Fair Georgia [Zurab NOGAIDELI] 
      
      Free Georgia [Kakha KUKAVA] 
      
      Georgian Dream (a six-party coalition composed of Georgian Dream-Democratic Georgia, Republican Party, Our Georgia-Free Democrats, National Forum, Conservative Party, and Industry Will Save Georgia) 
      
      Georgian Dream-Democratic Georgia [Irakli GARIBASHVILI] 
      
      Georgian People's Front [Nodar NATADZE] 
      
      Georgian Troupe [Jondi BAGHTURIA] 
      
      Industry Will Save Georgia (Industrialists) or IWSG [Georgi TOPADZE] 
      
      Labor Party [Shalva NATELASHVILI] 
      
      National Democratic Party or NDP [Bachuki KARDAVA] 
      
      National Forum [Kakhaber SHARTAVA] 
      
      New Rights [Pikria CHIKHRADZE] 
      
      Our Georgia-Free Democrats (OGFD) [Irakli KADAGIDZE] 
      
      People's Party [Koba DAVITASHVILI 
      
      Republican Party [Khatuna SAMNIDZE] 
      
      Traditionalists [Akaki ASATIANI] 
      
      United National Movement or UNM [Vano MERABISHVILI]"
Germany,"Alliance '90/Greens [Cem OEZDEMIR and Simone PETER] 
      
      Christian Democratic Union or CDU [Angela MERKEL] 
      
      Christian Social Union or CSU [Horst SEEHOFER] 
      
      Free Democratic Party or FDP [Christian LINDNER] 
      
      Left Party or Die Linke [Katia KIPPING and Bernd RIEXINGER] 
      
      Social Democratic Party or SPD [Sigmar GABRIEL]"
Ghana,"Convention People's Party or CPP [Samia NKRUMAH] 
      
      National Democratic Congress or NDC [John Dramani MAHAMA] 
      
      New Patriotic Party or NPP [Paul AFOKO] 
      
      People's National Convention or PNC [Alhaji Amed RAMADAN] 
      
      note - listed are four of the more popular political parties as of December 2012; there are more than 20 registered parties"
Gibraltar,"Gibraltar Liberal Party [Joseph GARCIA] 
      
      Gibraltar Social Democrats or GSD [Daniel FEETHAM] 
      
      Gibraltar Socialist Labor Party or GSLP [Fabian PICARDO] 
      
      Progressive Democratic Party [Nick CRUZ]"
Greece,"Anticapitalist Left Cooperation for the Overthrow or ANTARSYA [Petros KONSTANTINOU] 
      
      Coalition of the Radical Left or SYRIZA [Alexis TSIPRAS] 
      
      Communist Party of Greece or KKE [Dimitris KOUTSOUMBAS] 
      
      Democratic Left or DIMAR [Fotis KOUVELIS] 
      
      Ecologist Greens [Nikos CHRYSOGELOS] 
      
      Golden Dawn [Nikolaos MICHALOLIAKOS] 
      
      Independent Greeks or ANEL [Panagiotis (Panos) KAMMENOS] 
      
      New Democracy or ND [Antonis SAMARAS] 
      
      Panhellenic Socialist Movement or PASOK [Evangelos VENIZELOS] 
      
      Popular Orthodox Rally or LAOS [Georgios KARATZAFERIS]"
Greenland,"Candidate List (Kattusseqatigiit) or K [Anthon FREDERIKSEN] 
      
      Democrats Party (Demokraatit) or D [Jens B. FREDERIKSEN] 
      
      Forward Party (Siumut) or S [Aleqa HAMMOND] 
      
      Inuit Community (Inuit Ataqatigiit) or IA [Kuupik KLEIST] 
      
      Inuit Party (Partii Inuit) or PI [Nikku OLSEN] 
      
      Solidarity Party (Atassut) or A [Gerhardt PETERSEN]"
Grenada,"Grenada United Labor Party or GULP [Wilfred HAYES] 
      
      National Democratic Congress or NDC [Tillman THOMAS] 
      
      New National Party or NNP [Keith MITCHELL]"
Guam,"Democratic Party [Carlo BRANCH] 
      
      Republican Party [Mike BENITO]"
Guatemala,"Commitment, Renewal, and Order or CREO [Roberto GONZALEZ Diaz-Duran] 
      
      Democratic Union or UD [Edwin Armando MARTINEZ Herrera] 
      
      Encounter for Guatemala or EG [Nineth MONTENEGRO Cottom] 
      
      Everyone Together for Guatemala or TODOS [Felipe ALEJOS]

      
      Grand National Alliance or GANA [Jaime Antonio MARTINEZ Lohayza] 
      
      Guatemalan National Revolutionary Unity or URNG [Angel SANCHEZ Viesca] 
      
      Institutional Republican Party (formerly the Guatemalan Republican Front) or PRI [Luis Fernando PEREZ] 
      
      National Advancement Party or PAN [Juan GUTIERREZ Strauss] 
      
      National Unity for Hope or UNE [Sandra TORRES] 
      
      Nationalist Change Union or UCN [Mario ESTRADA] 
      
      New National Alternative or ANN [Pablo MONSANTO] 
      
      Patriot Party or PP [Ingrid Roxana BALDETTI Elias] 
      
      Renewed Democratic Liberty or LIDER [Manuel BALDIZON] 
      
      Unionista Party or PU [Alvaro ARZU Irigoyen] 
      
      Victoria (Victory) [Amilcar RIVERA] 
      
      Vision with Values or VIVA [Harold CABALLEROS] (part of a coalition with EG during the last legislative election) 
      
      Winaq [Rigoberta MENCHU]"
Guernsey,none; all independents
Guinea,"National Party for Hope and Development or PEDN [Lansana KOUYATE] 
      
      Rally for the Guinean People or RPG [Alpha CONDE] 
      
      Union for the Progress of Guinea or UPG [Jean Marie DORE] 
      
      Union of Democratic Forces of Guinea or UFDG [Cellou Dalein DIALLO] 
      
      Union of Republican Forces or UFR [Sidya TOURE] 
      
      
      
      
        note: listed are the five most popular parties as of January 2014; overall, there are more than 140 registered parties"
Guinea-Bissau,"African Party for the Independence of Guinea-Bissau and Cabo Verde or PAIGC [Domingos Simoes PEREIRA] 
      
      Democratic Convergence Party or PCD [Victor MANDINGA] 
      
      New Democracy Party or PND [Iaia DJALO] 
      
      Party for Social Renewal or PRS [vacant] 
      
      Republican Party for Independence and Development or PRID [Aristides GOMES] 
      
      Union for Change or UM [Agnelo REGALA]"
Guyana,"Alliance for Change or AFC [Khemraj RAMJATTAN] 
      
      Justice for All Party [C.N. SHARMA] 
      
      A Partnership for National Unity or APNU [David GRANGER] 
      
      People's Progressive Party/Civic or PPP/C [Donald RAMOTAR] 
      
      Rise, Organize, and Rebuild or ROAR [Ravi DEV] 
      
      The United Force or TUF [Manzoor NADIR] 
      
      The Unity Party [Joey JAGAN] 
      
      Vision Guyana [Peter RAMSAROOP]"
