Afghanistan,"Afghan Armed Forces: Afghan National Army (ANA, includes Afghan Air Force (AAF)) (2011)"
Sweden,"Swedish Armed Forces (Forsvarsmakten): Army (Armen), Royal Swedish Navy (Marinen), Swedish Air Force (Svenska Flygvapnet) (2010)"
Switzerland,"Swiss Armed Forces: Land Forces, Swiss Air Force (Schweizer Luftwaffe) (2013)"
Syria,"Syrian Armed Forces: Land Forces, Naval Forces, Air Forces (includes Air Defense Forces) (2013)"
Taiwan,"Army, Navy (includes Marine Corps), Air Force, Coast Guard Administration, Armed Forces Reserve Command, Combined Service Forces Command, Armed Forces Police Command"
Tajikistan,"Ground Forces, Air and Air Defense Forces, Mobile Forces (2013)"
Tanzania,"Tanzania People's Defense Force (Jeshi la Wananchi la Tanzania, JWTZ): Army, Naval Wing (includes Coast Guard), Air Defense Command (includes Air Wing), National Service (2007)"
Thailand,"Royal Thai Army (Kongthap Bok Thai, RTA), Royal Thai Navy (Kongthap Ruea Thai, RTN, includes Royal Thai Marine Corps), Royal Thai Air Force (Kongthap Agard Thai, RTAF) (2013)"
Timor-Leste,"Timor-Leste Defense Force (Falintil-Forcas de Defesa de Timor-L'este, Falintil (F-FDTL)): Army, Navy (Armada) (2013)"
Togo,"Togolese Armed Forces (Forces Armees Togolaise, FAT): Togolese Army (l'Armee de Terre), Togolese Navy (Forces Naval Togolaises), Togolese Air Force (Force Aerienne Togolaise, TAF), National Gendarmerie (2013)"
Tonga,"Tonga Defense Services (TDS): Land Force (Royal Guard), Maritime Force (includes Royal Marines, Air Wing) (2013)"
Trinidad and Tobago,"Trinidad and Tobago Defense Force (TTDF): Trinidad and Tobago Army, Coast Guard, Air Guard, Defense Force Reserves (2010)"
Tunisia,"Tunisian Armed Forces (Forces Armees Tunisiens, FAT): Tunisian Army (includes Tunisian Air Defense Force), Tunisian Navy, Republic of Tunisia Air Force (Al-Quwwat al-Jawwiya al-Jamahiriyah At'Tunisia) (2012)"
Turkey,"Turkish Armed Forces (TSK): Turkish Land Forces (Turk Kara Kuvvetleri), Turkish Naval Forces (Turk Deniz Kuvvetleri; includes naval air and naval infantry), Turkish Air Forces (Turk Hava Kuvvetleri) (2013)"
Turkmenistan,"Turkmen Armed Forces: Ground Forces, Navy, Air and Air Defense Forces (2013)"
Tuvalu,no regular military forces; Tuvalu Police Force (2012)
Uganda,"Uganda People's Defense Force (UPDF): Land Forces (includes Marine Unit), Uganda Air Force (2013)"
Ukraine,"Ground Forces, Naval Forces, Air Forces (2013)"
United Arab Emirates,"United Arab Emirates Armed Forces: Critical Infrastructure Coastal Patrol Agency (CNIA), Land Forces, Navy, Air Force and Air Defense, Border and Coast Guard Directorate (BCGD) (2012)"
United Kingdom,"Army, Royal Navy (includes Royal Marines), Royal Air Force (2013)"
United States,"United States Armed Forces: US Army, US Navy (includes Marine Corps), US Air Force, US Coast Guard; note - Coast Guard administered in peacetime by the Department of Homeland Security, but in wartime reports to the Department of the Navy (2013)"
Uruguay,"Uruguayan Armed Forces: Uruguayan National Army (Ejercito Nacional Uruguaya, ENU), Uruguayan National Navy (Armada Nacional del Uruguay; includes naval air arm, Naval Rifle Corps (Cuerpo de Fusileros Navales, Fusna), Maritime Prefecture in wartime), Uruguayan Air Force (Fuerza Aerea Uruguaya, FAU) (2012)"
Uzbekistan,"Uzbek Armed Forces: Army, Air and Air Defense Forces (2013)"
Vanuatu,"no regular military forces; Vanuatu Police Force (VPF), Vanuatu Mobile Force (VMF; includes Police Maritime Wing (PMW)) (2013)"
Venezuela,"Bolivarian National Armed Forces (Fuerza Armada Nacional Bolivariana, FANB): Bolivarian Army (Ejercito Bolivariano, EB), Bolivarian Navy (Armada Bolivariana, AB; includes Naval Infantry, Coast Guard, Naval Aviation), Bolivarian Military Aviation (Aviacion Militar Bolivariana, AMB; includes Air National Guard), Bolivarian National Guard (Guardia Nacional Bolivaria, GNB) (2013)"
Vietnam,"People's Armed Forces: People's Army of Vietnam (PAVN; includes Vietnam People's Navy (with Naval Infantry), Vietnam People's Air and Air Defense Force, Border Defense Command, Coast Guard) (2013)"
Yemen,Land Forces; Naval and Coastal Defense Forces (includes Marines); Air and Air Defense Force (al-Quwwat al-Jawwiya al-Yemeniya); Border Guards; Strategic Reserve Forces (2013)
Zambia,"Zambian National Defense Force (ZNDF): Zambia Army, Zambia Air Force, National Service (paramilitary youth organization) (2012)"
Zimbabwe,"Zimbabwe Defense Forces (ZDF): Zimbabwe National Army (ZNA), Air Force of Zimbabwe (AFZ) (2012)"
