Afghanistan,"other: religious groups, tribal leaders, ethnically based groups, Taliban"
Kazakhstan,"Adil-Soz [Tamara KALEYEVA] 
      
      Almaty Helsinki Committee [Ninel FOKINA] 
      
      Confederation of Free Trade Unions [Sergei BELKIN] 
      
      For Fair Elections [Yevgeniy ZHOVTIS, Sabit ZHUSUPOV, Sergey DUVANOV, Ibrash NUSUPBAYEV] 
      
      Kazakhstan International Bureau on Human Rights [Yevgeniy ZHOVTIS, Chairman of Bureau's Council, Roza AKYLBEKOVA, director] 
      
      Khalyk Maidany (Peoples' Front) - an informal union between the unregistered Alga Party, the unregistered Communist Party of Kazakhstan, and several opposition-oriented civil society groups, banned in November 2012 [no formal leader] 
      
      Pan-National Social Democratic Party of Kazakhstan [Zharmakhan TUYAKBAY] 
      
      Pensioners Movement or Pokoleniye [Irina SAVOSTINA, chairwoman] 
      
      Republican Network of International Monitors [Daniyar LIVAZOV] 
      
      Transparency International [Sergey ZLOTNIKOV]"
Kenya,"Council of Islamic Preachers of Kenya or CIPK [Sheikh Idris MOHAMMED] 
      
      Kenya Human Rights Commission [L. Muthoni WANYEKI] 
      
      Muslim Human Rights Forum [Ali-Amin KIMATHI] 
      
      National Muslim Leaders Forum or NAMLEF [Abdullahi ABDI] 
      
      Protestant National Council of Churches of Kenya or NCCK [Canon Peter Karanja MWANGI] 
      
      Roman Catholic and other Christian churches 
      
      Supreme Council of Kenya Muslims or SUPKEM [Shaykh Abdul Gafur al-BUSAIDY] 
      
      
      
      
        other: labor unions, Kenya Association of Manufacturers, Kenya Private Sector Alliance"
Kiribati,NA
"Korea, North",none
"Korea, South","Catholic Priests' Association for Justice 
      
      Citizen's Coalition for Economic Justice 
      
      Federation of Korean Industries 
      
      Federation of Korean Trade Unions 
      
      Korean Confederation of Trade Unions 
      
      Korean Veterans' Association 
      
      Lawyers for a Democratic Society 
      
      National Council of Churches 
      
      People's Solidarity for Participatory Democracy"
Kosovo,"Council for the Defense of Human Rights and Freedom (human rights) 
      
      Organization for Democracy, Anti-Corruption and Dignity Rise! [Avni ZOGIANI] 
      
      Serb National Council (SNV) 
      
      The Speak Up Movement [Ramadan ILAZI]"
Kuwait,other: Islamists; merchants; political groups; secular liberals and pro-governmental deputies; Shia activists; tribal groups
Kyrgyzstan,"Adilet (Justice) Legal Clinic [Cholpon JAKUPOVA] 
      
      Citizens Against Corruption [Tolekan ISMAILOVA] 
      
      Coalition for Democracy and Civil Society [Dinara OSHURAKHUNOVA] 
      
      Kylym Shamy (Torch of the Century) [Aziza ABDIRASULOVA] 
      
      Precedent Partnership Group [Nurbek TOKTAKUNOV] 
      
      Societal Analysis Public Association [Rita KARASARTOVA] 
      
      Union of True Muslims [Nurlan MOTUEV]"
Laos,NA
Latvia,"Free Trade Union Confederation of Latvia [Peteris KRIGERS] 
      
      Employers' Confederation of Latvia [Vitalijs GAVRILOVS] 
      
      Farmers' Parliament [Juris LAZDINS]"
Lebanon,"Maronite Church [Patriarch Bishara al-Ra'i] 
      
      
      
      
        other: note - most sects retain militias and a number of militant groups operate in Palestinian refugee camps"
Lesotho,"Media Institute of Southern Africa, Lesotho chapter [Tsebo MATASA] (pushes for media freedom)"
Liberia,other: demobilized former military officers
Libya,NA
Liechtenstein,NA
Luxembourg,"ABBL (bankers' association) [Ernst Wilhelm CONTZEN] 
      
      ALEBA (financial sector trade union) [Marc GLESENER] 
      
      Centrale Paysanne (federation of agricultural producers) [Marc FISCH] 
      
      CEP (professional sector chamber) [Stephane LIA] 
      
      CGFP (trade union representing civil service) [Joseph DALEIDEN] 
      
      Chamber of Commerce (Chambre de Commerce) [Carlo THELEN] 
      
      Chamber of Artisans (Chambre des Metiers) [Roland KUHN] 
      
      FEDIL (federation of industrialists) [Nicolas SOISSON] 
      
      Greenpeace (environment protection) [Kumi NAIDOO] 
      
      LCGP (center-right trade union) [Patrick DURY] 
      
      Mouvement Ecologique (environment protection) [Blanche WEBER] 
      
      OGBL (center-left trade union) [Jean-Claude REDING]"
Macau,"Civic Power [Agnes LAM lok-fong] 
      
      Democratic Action [LEE Kin-yun] 
      
      Bar-Bending Workers' Association [WONG Wai-Man] 
      
      Macau New Chinese Youth Association [LEONG Sin-man] 
      
      Macau Worker's Union [HO Heng-kuok] 
      
      New Macau Association [Antonio NG Kuok-cheong] 
      
      Workers' Self-Help Union [CHEONG Weng-fat]"
Macedonia,"Federation of Free Trade Unions [Mirjana ANDREVSKA] 
      
      Federation of Trade Unions [Zivko MITREVSKI] 
      
      Trade Union of Education, Science and Culture [Jakim NEDELKOV]"
Madagascar,"Committee for the Defense of Truth and Justice or KMMR 
      
      Committee for National Reconciliation or CRN [Albert Zafy] 
      
      National Council of Christian Churches or FFKM"
Malawi,"Council for NGOs in Malawi or CONGOMA (human rights, democracy, and development) 
      
      Human Rights Consultative Committee or HRCC (human rights) 
      
      Malawi Economic Justice Network or MEJN (pro economic growth, development, government accountability) 
      
      Malawi Law Society (an umbrella organization of all lawyers in Malawi) 
      
      Public Affairs Committee or PAC (promotes democracy, development, peace and unity)"
Malaysia,"Bar Council 
      
      BERSIH (electoral reform coalition) 
      
      PEMBELA (Muslim NGO coalition) 
      
      PERKASA (defense of Malay rights) 
      
      
      
      
        other: religious groups; women's groups; youth groups"
Maldives,other: various unregistered political parties
Mali,other: the army; Islamic authorities; state-run cotton company CMDT
Malta,"Alliance of Liberal Democrats Malta (Alleanza Liberali-Demokratika Malta) of ALDM (for divorce, abortion, gay marriage, women's rights) 
      
      Together for a Better Environment (Flimkien Ghal-Ambjent Ahjar) or FAA (pro-environment) 
      
      
      
      
        other: environmentalists"
Marshall Islands,NA
Mauritania,"General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general] 
      
      Independent Confederation of Mauritanian Workers or CLTM [Samory Ould BEYE] 
      
      Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] 
      
      
      
      
        other: Arab nationalists; Ba'thists; Islamists"
Mauritius,"LALIT Political Party 
      
      Blok 104. Rezistans ek Alternativ (Resistence and Alternative), Say No to Coal! 
      
      
        other: various labor unions"
Mexico,"Businessmen's Coordinating Council or CCE 
      
      Confederation of Employers of the Mexican Republic or COPARMEX 
      
      Confederation of Industrial Chambers or CONCAMIN 
      
      Confederation of Mexican Workers or CTM 
      
      Confederation of National Chambers of Commerce or CONCANACO 
      
      Coordinator for Foreign Trade Business Organizations or COECE 
      
      Federation of Unions Providing Goods and Services or FESEBES 
      
      National Chamber of Transformation Industries or CANACINTRA 
      
      National Confederation of Popular Organizations or CNOP 
      
      National Coordinator for Education Workers or CNTE 
      
      National Peasant Confederation or CNC 
      
      National Small Business Chamber or CANACOPE 
      
      National Syndicate of Education Workers or SNTE 
      
      National Union of Workers or UNT 
      
      Popular Assembly of the People of Oaxaca or APPO 
      
      Roman Catholic Church"
"Micronesia, Federated States of",NA
Moldova,NA
Monaco,NA
Mongolia,other: human rights groups; women's groups
Montenegro,NA
Montserrat,NA
Morocco,"Democratic Confederation of Labor or CDT [Noubir AMAOUI] 
      
      General Union of Moroccan Workers or UGTM [Abderrazzak AFILAL] 
      
      Justice and Charity Organization or JCO 
      
      Moroccan Employers Association or CGEM [Hassan CHAMI] 
      
      National Labor Union of Morocco or UNMT [Abdelslam MAATI] 
      
      Union of Moroccan Workers or UMT [Mahjoub BENSEDDIK]"
Mozambique,"Mozambican League of Human Rights (Liga Mocambicana dos Direitos Humanos) or LDH [Alice MABOTE, president]"
Namibia,"National Society for Human Rights or NSHR (NAMRIGHTS as of 2010) 
      
      various labor unions"
Nauru,Woman Information and News Agency (women's issues)
Nepal,"The Communist Party of Nepal - Maoist (CPN-M); note - this party split from the UCPN(M) in June 2012,opposed the November 2013 elections, and is not represented in the current Constituent Assembly 
      
      
        other: a variety of groups advocating regional autonomy such as the Federal State Limbuwan Council in far eastern Nepal"
Netherlands,"Christian Trade Union Federation or CNV [Jaap SMIT] 
      
      Confederation of Netherlands Industry and Employers or VNO-NCW [Bernard WIENTJES] 
      
      Federation for Small and Medium-sized businesses or MKB [Hans BIESHEUVEL] 
      
      Netherlands Trade Union Federation or FNV [Ton HEERTS] 
      
      Social Economic Council or SER [Wiebe DRAIJER] 
      
      Trade Union Federation of Middle and High Personnel or MHP [Reginald VISSER]"
New Caledonia,NA
New Zealand,"Women's Electoral Lobby or WEL 
      
      
      
      
        other: apartheid groups; civil rights groups; farmers groups; Maori; nuclear weapons groups; women's rights groups"
Nicaragua,"National Workers Front or FNT (a Sandinista umbrella group of eight labor unions including: Farm Workers Association or ATC, Health Workers Federation or FETASALUD, Heroes and Martyrs Confederation of Professional Associations or CONAPRO, National Association of Educators of Nicaragua or ANDEN, National Union of Employees or UNE, National Union of Farmers and Ranchers or UNAG, Sandinista Workers Central or CST, and Union of Journalists of Nicaragua or UPN) 
      
      Permanent Congress of Workers or CPT (an umbrella group of four non-Sandinista labor unions including: Autonomous Nicaraguan Workers Central or CTN-A, Confederation of Labor Unification or CUS, Independent General Confederation of Labor or CGT-I, and Labor Action and Unity Central or CAUS) 
      
      Nicaraguan Workers' Central or CTN (an independent labor union) 
      
      Superior Council of Private Enterprise or COSEP (a confederation of business groups)"
Nigeria,"Academic Staff Union for Universities or ASUU 
      
      Campaign for Democracy or CD 
      
      Civil Liberties Organization or CLO 
      
      Committee for the Defense of Human Rights or CDHR 
      
      Constitutional Right Project or CRP 
      
      Human Right Africa 
      
      National Association of Democratic Lawyers or NADL 
      
      National Association of Nigerian Students or NANS 
      
      Nigerian Bar Association or NBA 
      
      Nigerian Labor Congress or NLC 
      
      Nigerian Medical Association or NMA 
      
      the press 
      
      Universal Defenders of Democracy or UDD"
Niue,NA
Norfolk Island,none
Northern Mariana Islands,NA
Norway,"Confederation of Norwegian Enterprise (Naeringslivets Hovedorganisasjon) or NHO [President Tore ULSTEIN; CEO Kristin SKOGEN LUND] 
      
      Norwegian Confederation of Trade Unions (Landsorganisasjonen i Norge) or LO [Gerd KRISTIANSEN] 
      
      
      
      
        other: environmental groups; media; digital privacy movements"
Oman,none
Pakistan,other: military (most important political force); ulema (clergy); landowners; industrialists; small merchants
Palau,NA
Panama,"Chamber of Commerce 
      
      Concertacion Nacional (mechanism for government of Panama to formally dialogue with representatives of civil society) 
      
      National Council of Organized Workers or CONATO 
      
      National Council of Private Enterprise or CONEP 
      
      National Union of Construction and Similar Workers (SUNTRACS) 
      
      Panamanian Association of Business Executives or APEDE 
      
      Panamanian Industrialists Society or SIP 
      
      Workers Confederation of the Republic of Panama or CTRP"
Papua New Guinea,"Centre for Environment Law and Community Rights or Celcor [Damien ASE] 
      
      Community Coalition Against Corruption 
      
      National Council of Women 
      
      Transparency International PNG"
Paraguay,"Ahorristas Estafados or AE 
      
      National Coordinating Board of Campesino Organizations or MCNOC [Luis AGUAYO] 
      
      National Federation of Campesinos or FNC [Odilon ESPINOLA] 
      
      National Workers Central or CNT [Secretary General Juan TORRALES] 
      
      Paraguayan Workers Confederation or CPT 
      
      Roman Catholic Church 
      
      Unitary Workers Central or CUT [Jorge Guzman ALVARENGA Malgarejo]"
Peru,"General Workers Confederation of Peru (Confederacion General de Trabajadores del Peru) or CGTP [Mario HUAMAN] 
      
      Shining Path (Sendero Luminoso) or SL [Abimael GUZMAN Reynoso (imprisoned), Victor QUISPE Palomino (top leader at-large)] (leftist guerrilla group)"
Philippines,"Black and White Movement [Vicente ROMANO] 
      
      Kilosbayan [Jovito SALONGA]"
Pitcairn Islands,none
Poland,"All Poland Trade Union Alliance or OPZZ (trade union) [Jan GUZ] 
      
      Roman Catholic Church [Cardinal Stanislaw DZIWISZ, Archbishop Jozef MICHALIK] 
      
      Independent and Self-Governing Trade Union ""Solidarity"" [Piotr DUDA]"
Portugal,"Armed Forces Officers' Association (AOFA) [Colonel Pereira CRACEL] 
      
      the Desperate Generation (youth movement protesting against low wages, precarious labor conditions, and unemployment) 
      
      the General Workers Union or General Confederation of Portuguese Workers (UGT) [Carlos SILVA] 
      
      Portuguese National Workers' Conference (CGTP) [Armenio CARLOS] 
      
      TugaLeaks (a website that has become a mouthpiece for publicizing diverse protest action) 
      
      
      
      
        other: the media; labor unions"
Puerto Rico,"Boricua Popular Army or EPB (a revolutionary group also known as Los Macheteros) 
      
      
      
      
        note: the following radical groups are considered dormant by Federal law enforcement: Armed Forces for National Liberation or FALN, Armed Forces of Popular Resistance, Volunteers of the Puerto Rican Revolution"
Qatar,none
Romania,other: various human rights and professional associations
Russia,"Confederation of Labor of Russia (KTR) 
      
      Federation of Independent Trade Unions of Russia 
      
      Golos Association in Defense of Voters' Rights 
      
      Memorial 
      
      Movement Against Illegal Migration 
      
      Russkiye 
      
      Solidarnost 
      
      The World Russian People's Congress 
      
      Union of the Committees of Soldiers' Mothers 
      
      Union of Russian Writers 
      
      other - business associations, environmental organizations, religious groups (especially those with Orthodox or Muslim affiliation), and veterans groups"
Rwanda,IBUKA (association of genocide survivors)
Saint Barthelemy,"The Marine Reserve (protection of fish) 
      
      Rotary Club"
"Saint Helena, Ascension, and Tristan da Cunha",other: private sector; unions
Saint Kitts and Nevis,NA
Saint Lucia,NA
Saint Martin,NA
Saint Pierre and Miquelon,NA
Saint Vincent and the Grenadines,NA
Samoa,NA
San Marino,NA
Sao Tome and Principe,"Association of Sao Tome and Principe NGOs or FONG 
      
      
        other: the media"
Saudi Arabia,"Ansar Al Marah (supports women's rights); Freedom and Justice Coalition (supports Shia rights) 
      
      
        other: gas companies; religious groups"
Senegal,"other: labor; students; Sufi brotherhoods, including the Mourides and Tidjanes; teachers"
Serbia,"1389 (Serbian nationalist movement) 
      
      Dveri - Movement for the Life of Serbia [Bosko OBRADOVIC] 
      
      Obraz (Orthodox clero-fascist organization) 
      
      SNP NASI (Serbian National Movement NASI)"
Seychelles,"Roman Catholic Church 
      
      
        other: trade unions"
Sierra Leone,other: student unions; trade unions
Singapore,none
Slovakia,"Association of Towns and Villages or ZMOS 
      
      Confederation of Trade Unions or KOZ 
      
      Entrepreneurs Association of Slovakia or ZPS 
      
      Federation of Employers' Associations of the Slovak Republic 
      
      Medical Trade Association or LOZ 
      
      National Union of Employers or RUZ 
      
      Slovak Chamber of Commerce and Industry or SOPK 
      
      The Business Alliance of Slovakia or PAS"
Slovenia,"Slovenian Roma Association [Jozek Horvat MUC]; various trade and public sector employee unions 
      
      
      
      
        other: Catholic Church"
Solomon Islands,"Isatabu Freedom Movement (IFM) 
      
      Malaita Eagle Force (MEF) 
      
      
      
      
        note: these rival armed ethnic factions crippled the Solomon Islands in a wave of violence from 1999 to 2003"
Somalia,other: numerous clan and sub-clan factions exist both in support and in opposition to the transitional government
South Africa,"Congress of South African Trade Unions or COSATU [Zwelinzima VAVI, general secretary] 
      
      South African Communist Party or SACP [Blade NZIMANDE, general secretary] 
      
      South African National Civics Organization or SANCO [Richard MDAKANE, national president] 
      
      
      
      
        note: COSATU and SACP are in a formal alliance with the ANC"
Spain,"Association for Victims of Terrorism or AVT (grassroots organization devoted primarily to supporting victims of the Basque Fatherland and Liberty (ETA) terrorist organization) 
      
      15-M or 15 May protest movement, which is also known as the Indignados, Spanish for the ""indignant ones"" (a loose association of grassroots organizations that advocate for greater accountability and transparency in Spanish politics, increased social justice and job creation) 
      
      Socialist General Union of Workers or UGT and the smaller independent Workers Syndical Union or USO 
      
      Trade Union Confederation of Workers' Commissions or CC.OO. 
      
      Spanish Confederation of Employers' Organizations or CEOE 
      
      
      
      
        other: business and landowning interests; Catholic Church; free labor unions (authorized in April 1977); university students"
Sri Lanka,"Buddhist clergy 
      
      labor unions 
      
      hard-line nationalist Sinhalese groups such as the National Movement Against Terrorism 
      
      Sinhalese Buddhist lay groups"
Sudan,"Sudan People's Liberation Movement-North (SPLM-N) [Malik AGAR] 
      
      Sudan Revolutionary Front (SRF) [Malik AGAR] 
      
      National Consensus Front (NCF) [Farouq ABU ISSA] 
      
      Darfur rebel groups including the Justice and Equality Movement or JEM [Gibril Fidail IBRAHIM], the Sudan Liberation Movement or SLM-AW [Abdel Wahid NUR] [various factional leaders], Sudan Liberation or SLM-MM /[Minni Arkou MINAWI]"
Suriname,"Association of Indigenous Village Chiefs [Ricardo PANE] 
      
      Association of Saramaccan Authorities or Maroon [Head Captain WASE] 
      
      Women's Parliament Forum or PVF [Iris GILLIAD]"
Svalbard,NA
Swaziland,"Swaziland Democracy Campaign 
      
      Swaziland Federation of Trade Unions 
      
      Swaziland Solidarity Network or SSN"
Sweden,"Children's Rights in Society 
      
      Swedish Confederation of Professional Employees or TCO 
      
      Swedish Trade Union Confederation (Landsorganisationen) or LO [Wanja LUNDBY-WEDIN] 
      
      
      
      
        other: environmental groups; media"
Switzerland,NA
Syria,"Free Syrian Army 
      
      Syrian Muslim Brotherhood or SMB [Muhammad Riyad al-SHAQFAH] (operates in exile in London) 
      
      Syrian Opposition Coalition or National Coalition of Syrian Revolutionary and Opposition Forces [al-Asi- al-JARBAL] 
      
      
        note: there are also hundreds of local groups that organize protests and stage armed attacks"
Taiwan,"environmental groups 
      
      independence movement 
      
      various business groups 
      
      
      
      
        note: debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; public opinion polls consistently show a substantial majority of Taiwan people supports maintaining Taiwan's status quo for the foreseeable future; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; advocates of eventual unification predicate their goal on the democratic transformation of the mainland"
Tajikistan,"influential religious leader Akbar TURAJONZODA 
      
      unregistered Youth Party of Tajikistan [Izzat AMON] 
      
      unregistered opposition group Guruhi-24 (Group-24) [Umarali QUVVATOV] 
      
      Vatandor (Patriot) Movement [Dodojon ATOVULLOEV] 
      
      unregistered presidential candidate of Union of Reformist Forces of Tajikistan Oynihol BOBONAZAROVA 
      
      unregistered New Tajikistan party [Zayd SAIDOV]"
Tanzania,"Economic and Social Research Foundation or ESRF 
      
      Free Zanzibar 
      
      Tanzania Media Women's Association or TAMWA"
Thailand,"Multicolor Group 
      
      People's Alliance for Democracy or PAD 
      
      People's Democratic Reform Committee or PDRC 
      
      Student and People Network for Thailand's Reform or STR 
      
      United Front for Democracy Against Dictatorship or UDD"
Timor-Leste,NA
Togo,NA
Tokelau,none
Tonga,"Human Rights and Democracy Movement Tonga or HRDMT [Rev. Simote VEA, chairman] 
      
      Public Servant's Association [Finau TUTONE]"
Trinidad and Tobago,Jamaat-al Muslimeen [Yasin ABU BAKR]
Tunisia,18 October Group [collective leadership]; Tunisian League for Human Rights or LTDH [Mokhtar TRIFI]; Tunisian General Labor Union or UGTT [Hassine ABASSI]
Turkey,"Confederation of Businessmen and Industrialists of Turkey or TUSKON [Rizanur MERAL] 
      
      Confederation of Public Sector Unions or KESK [Lami OZGEN] 
      
      Confederation of Revolutionary Workers Unions or DISK [Tayfun GORGUN] 
      
      Independent Industrialists' and Businessmen's Association or MUSIAD [Omer Cihad VARDAN] 
      
      Moral Rights Workers Union or Hak-Is [Mahmut ARSLAN] 
      
      Turkish Confederation of Employers' Unions or TISK [Tugrul KUDATGOBILIK] 
      
      Turkish Confederation of Labor or Turk-Is [Mustafa KUMLU] 
      
      Turkish Confederation of Tradesmen and Craftsmen or TESK [Bendevi PALANDOKEN] 
      
      Turkish Industrialists' and Businessmen's Association or TUSIAD [Muharrem YILMAZ] 
      
      Turkish Union of Chambers of Commerce and Commodity Exchanges or TOBB [M. Rifat HISARCIKLIOGLU]"
Turkmenistan,none
Turks and Caicos Islands,NA
Tuvalu,none
Uganda,"Lord's Resistance Army or LRA [Joseph KONY] 
      
      Parliamentary Advocacy Forum or PAFO 
      
      National Association of Women Organizations in Uganda or NAWOU [Florence NEKYON] 
      
      The Ugandan Coalition for Political Accountability to Women or COPAW"
Ukraine,"Committee of Voters of Ukraine [Oleksandr CHERNENKO] 
      
      OPORA [Olha AIVAZOVSKA]"
United Arab Emirates,NA
United Kingdom,"Campaign for Nuclear Disarmament 
      
      Confederation of British Industry 
      
      National Farmers' Union 
      
      Trades Union Congress"
United States,environmentalists; business groups; labor unions; churches; ethnic groups; political action committees or PACs; health groups; education groups; civic groups; youth groups; transportation groups; agricultural groups; veterans groups; women's groups; reform lobbies
Uruguay,"Chamber of Commerce and Export of Agriproducts 
      
      Chamber of Industries (manufacturer's association) 
      
      Exporters Union of Uruguay 
      
      National Chamber of Commerce and Services 
      
      PIT/CNT (powerful federation of Uruguayan Unions - umbrella labor organization) 
      
      Rural Association of Uruguay (rancher's association) 
      
      Uruguayan Network of Political Women 
      
      
      
      
        other: B'nai Brith; Catholic Church; students"
Uzbekistan,there are no significant opposition political parties or pressure groups operating in Uzbekistan
Vanuatu,NA
Venezuela,"Bolivarian and Socialist Workers' Union (a ruling party labor union) 
      
      Confederacion Venezolana de Industriales or Coindustria (a conservative business group) 
      
      Consejos Comunales (pro-Chavez local cooperatives) 
      
      FEDECAMARAS (a conservative business group) 
      
      Union of Oil Workers of Venezuela or FUTPV 
      
      Venezuelan Confederation of Workers or CTV (opposition-oriented labor organization) 
      
      various civil society groups and human rights organizations"
Vietnam,"8406 Bloc 
      
      Democratic Party of Vietnam or DPV 
      
      People's Democratic Party Vietnam or PDP-VN 
      
      Alliance for Democracy 
      
      
      
      
        note: these groups advocate democracy but are not recognized by the government"
Virgin Islands,NA
Wallis and Futuna,NA
Western Sahara,none
Yemen,"Muslim Brotherhood 
      
      Women National Committee 
      
      
      
      
        other: conservative tribal groups; Huthis, southern secessionist groups; al-Qa'ida in the Arabian Peninsula (AQAP)"
Zambia,NA
Zimbabwe,"Crisis in Zimbabwe Coalition 
      
      National Constitutional Assembly or NCA [Lovemore MADHUKU] 
      
      Women of Zimbabwe Arise or WOZA [Jenni WILLIAMS] 
      
      Zimbabwe Congress of Trade Unions or ZCTU [Wellington CHIBEBE]"
