Afghanistan,"Pashtun 42%, Tajik 27%, Hazara 9%, Uzbek 9%, Aimak 4%, Turkmen 3%, Baloch 2%, other 4%"
Sri Lanka,"Sinhalese 73.8%, Sri Lankan Moors 7.2%, Indian Tamil 4.6%, Sri Lankan Tamil 3.9%, other 0.5%, unspecified 10% (2001 census provisional data)"
Sudan,"Sudanese Arab (approximately 70%), Fur, Beja, Nuba, Fallata"
Suriname,"Hindustani (also known locally as ""East Indians""; their ancestors emigrated from northern India in the latter part of the 19th century) 37%, Creole (mixed white and black) 31%, Javanese 15%, ""Maroons"" (their African ancestors were brought to the country in the 17th and 18th centuries as slaves and escaped to the interior) 10%, Amerindian 2%, Chinese 2%, white 1%, other 2%"
Svalbard,"Norwegian 55.4%, Russian and Ukrainian 44.3%, other 0.3% (1998)"
Swaziland,"African 97%, European 3%"
Sweden,"indigenous population: Swedes with Finnish and Sami minorities; foreign-born or first-generation immigrants: Finns, Yugoslavs, Danes, Norwegians, Greeks, Turks"
Switzerland,"German 65%, French 18%, Italian 10%, Romansch 1%, other 6%"
Syria,"Arab 90.3%, Kurds, Armenians, and other 9.7%"
Taiwan,"Taiwanese (including Hakka) 84%, mainland Chinese 14%, indigenous 2%"
Tajikistan,"Tajik 79.9%, Uzbek 15.3%, Russian 1.1%, Kyrgyz 1.1%, other 2.6% (2000 census) 
      
      
        note: estimates of Uzbek proportion can range as high as 25% depending on how mixed Tajik-Uzbek families (largely in border areas) are counted"
Tanzania,"mainland - African 99% (of which 95% are Bantu consisting of more than 130 tribes), other 1% (consisting of Asian, European, and Arab); Zanzibar - Arab, African, mixed Arab and African"
Thailand,"Thai 95.9%, Burmese 2%, other 1.3%, unspecified 0.9% (2010 est.)"
Timor-Leste,"Austronesian (Malayo-Polynesian), Papuan, small Chinese minority"
Togo,"African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%, European and Syrian-Lebanese less than 1%"
Tokelau,"Tokelauan 65.3%, part Tokelauan/Samoan 8.7%, part Tokelauan/Tuvaluan 6.9%, part Tokelauan/other Pacific islander 1.9%, part Tokelauan/European 1%, Samoan 6.7%, Tuvaluan 2.8%, other Pacific islander 1.1%, other 5.1%, unspecified 0.4% (2011 est.)"
Tonga,"Tongan 96.6%, part-Tongan 1.7%, other 1.7%, unspecified 0.03% (2006 est.)"
Trinidad and Tobago,"East Indian 35.4%, African 34.2%, mixed - other 15.3%, mixed African/East Indian 7.7%, other 1.3%, unspecified 6.2% (2011 est.)"
Tunisia,"Arab 98%, European 1%, Jewish and other 1%"
Turkey,"Turkish 70-75%, Kurdish 18%, other minorities 7-12% (2008 est.)"
Turkmenistan,"Turkmen 85%, Uzbek 5%, Russian 4%, other 6% (2003)"
Turks and Caicos Islands,"black 87.6%, white 7.9%, mixed 2.5%, East Indian 1.3%, other 0.7% (2006)"
Tuvalu,"Polynesian 96%, Micronesian 4%"
Uganda,"Baganda 16.9%, Banyankole 9.5%, Basoga 8.4%, Bakiga 6.9%, Iteso 6.4%, Langi 6.1%, Acholi 4.7%, Bagisu 4.6%, Lugbara 4.2%, Bunyoro 2.7%, other 29.6% (2002 census)"
Ukraine,"Ukrainian 77.8%, Russian 17.3%, Belarusian 0.6%, Moldovan 0.5%, Crimean Tatar 0.5%, Bulgarian 0.4%, Hungarian 0.3%, Romanian 0.3%, Polish 0.3%, Jewish 0.2%, other 1.8% (2001 est.)"
United Arab Emirates,"Emirati 19%, other Arab and Iranian 23%, South Asian 50%, other expatriates (includes Westerners and East Asians) 8% (1982) 
      
      
        note: less than 20% are UAE citizens (1982)"
United Kingdom,"white 87.2%, black/African/Caribbean/black British 3%, Asian/Asian British: Indian 2.3%, Asian/Asian British: Pakistani 1.9%, mixed 2%, other 3.7% (2011 est.)"
United States,"white 79.96%, black 12.85%, Asian 4.43%, Amerindian and Alaska native 0.97%, native Hawaiian and other Pacific islander 0.18%, two or more races 1.61% (July 2007 estimate) 
      
      
        note: a separate listing for Hispanic is not included because the US Census Bureau considers Hispanic to mean persons of Spanish/Hispanic/Latino origin including those of Mexican, Cuban, Puerto Rican, Dominican Republic, Spanish, and Central or South American origin living in the US who may be of any race or ethnic group (white, black, Asian, etc.); about 15.1% of the total US population is Hispanic"
Uruguay,"white 88%, mestizo 8%, black 4%, Amerindian (practically nonexistent)"
Uzbekistan,"Uzbek 80%, Russian 5.5%, Tajik 5%, Kazakh 3%, Karakalpak 2.5%, Tatar 1.5%, other 2.5% (1996 est.)"
Vanuatu,"Ni-Vanuatu 97.6%, part Ni-Vanuatu 1.1%, other 1.3% (2009 est.)"
Venezuela,"Spanish, Italian, Portuguese, Arab, German, African, indigenous people"
Vietnam,"Kinh (Viet) 85.7%, Tay 1.9%, Thai 1.8%, Muong 1.5%, Khmer 1.5%, Mong 1.2%, Nung 1.1%, others 5.3% (1999 census)"
Virgin Islands,"black 76.2%, white 13.1%, Asian 1.1%, other 6.1%, mixed 3.5% (2000 census)"
Wallis and Futuna,Polynesian
West Bank,"Palestinian Arab and other 83%, Jewish 17%"
Western Sahara,"Arab, Berber"
Yemen,"predominantly Arab; but also Afro-Arab, South Asians, Europeans"
Zambia,"Bemba 21%, Tonga 13.6%, Chewa 7.4%, Lozi 5.7%, Nsenga 5.3%, Tumbuka 4.4%, Ngoni 4%, Lala 3.1%, Kaonde 2.9%, Namwanga 2.8%, Lunda (north Western) 2.6%, Mambwe 2.5%, Luvale 2.2%, Lamba 2.1%, Ushi 1.9%, Lenje 1.6%, Bisa 1.6%, Mbunda 1.2%, other 13.8%, unspecified 0.4% (2010 est.)"
Zimbabwe,"African 98% (Shona 82%, Ndebele 14%, other 2%), mixed and Asian 1%, white less than 1%"
