Albania,"total: 17 
      
      
        by type: cargo 16, roll on/roll off 1 
      
      
        foreign-owned: 1 (Turkey 1) 
      
      
        registered in other countries: 5 (Antigua and Barbuda 1, Panama 4) (2010)"
Jordan,"total: 12 
      
      
        by type: cargo 4, passenger/cargo 6, petroleum tanker 1, roll on/roll off 1 
      
      
        foreign-owned: 2 (UAE 2) 
      
      
        registered in other countries: 16 (Bahamas 2, Egypt 2, Indonesia 1, Panama 11) (2010)"
Kazakhstan,"total: 11 
      
      
        by type: cargo 1, petroleum tanker 8, refrigerated cargo 1, specialized tanker 1 
      
      
        foreign-owned: 3 (Austria 1,  Ireland 1, Turkey 1) (2010)"
Kenya,"registered in other countries: 5 (Comoros 2, Saint Vincent and the Grenadines 2, unknown 1) (2010)"
Kiribati,"total: 77 
      
      
        by type: bulk carrier 7, cargo 35, chemical tanker 6, passenger 1, passenger/cargo 1, petroleum tanker 12, refrigerated cargo 15 
      
      
        foreign-owned: 43 (China 26, Hong Kong 2, Russia 1, Singapore 9, South Korea 1, Taiwan 2, Vietnam 2) (2010)"
"Korea, North","total: 158 
      
      
        by type: bulk carrier 6, cargo 131, carrier 1, chemical tanker 1, container 4, passenger/cargo 1, petroleum tanker 12, refrigerated cargo 2 
      
      
        foreign-owned: 13 (Belgium 1, China 3, Nigeria 1, Singapore 1, South Korea 1, Syria 4, UAE 2) 
      
      
        registered in other countries: 6 (Mongolia 1, Sierra Leone 2, unknown 3) (2010)"
"Korea, South","total: 786 
      
      
        by type: bulk carrier 191, cargo 235, carrier 8, chemical tanker 130, container 72, liquefied gas 44, passenger 5, passenger/cargo 15, petroleum tanker 55, refrigerated cargo 15, roll on/roll off 10, vehicle carrier 6 
      
      
        foreign-owned: 31 (China 6, France 2, Japan 14, Taiwan 1, US 8) 
      
      
        registered in other countries: 457 (Bahamas 1, Cambodia 10, Ghana 1, Honduras 6, Hong Kong 3, Indonesia 2, Kiribati 1, Liberia 2, Malta 2, Marshall Islands 41, North Korea 1, Panama 373, Philippines 1, Russia 1, Singapore 3, Tuvalu 1, unknown 8) (2010)"
Kuwait,"total: 34 
      
      
        by type: bulk carrier 2, carrier 3, container 6, liquefied gas 4, petroleum tanker 19 
      
      
        registered in other countries: 45 (Bahamas 1, Bahrain 5, Comoros 1, Libya 1, Malta 3, Marshall Islands 2, Panama 12, Qatar 6, Saudi Arabia 4, UAE 10) (2010)"
Latvia,"total: 11 
      
      
        by type: cargo 3, chemical tanker 1, passenger/cargo 4, petroleum tanker 2, roll on/roll off 1 
      
      
        foreign-owned: 3 (Estonia 3) 
      
      
        registered in other countries: 79 (Antigua and Barbuda 16, Belize 9, Comoros 2, Dominica 2, Georgia 1, Liberia 5, Malta 8, Marshall Islands 19, Russia 2, Saint Vincent and the Grenadines 15) (2010)"
Lebanon,"total: 29 
      
      
        by type: bulk carrier 4, cargo 7, carrier 17, vehicle carrier 1 
      
      
        foreign-owned: 2 (Syria 2) 
      
      
        registered in other countries: 34 (Barbados 2, Cambodia 5, Comoros 2, Egypt 1, Georgia 1, Honduras 2, Liberia 1, Malta 6, Moldova 1, Panama 2, Saint Vincent and the Grenadines 2, Sierra Leone 2, Togo 6, unknown 1) (2010)"
Liberia,"total: 2,771 
      
      
        by type: barge carrier 5, bulk carrier 662, cargo 143, carrier 2, chemical tanker 248, combination ore/oil 8, container 937, liquefied gas 92, passenger 2, passenger/cargo 2, petroleum tanker 526, refrigerated cargo 102, roll on/roll off 5, specialized tanker 10, vehicle carrier 27 
      
      
        foreign-owned: 2,581 (Angola 1, Argentina 1, Australia 1, Belgium 1, Bermuda 4, Brazil 20, Canada 2, Chile 9, China 4, Croatia 1, Cyprus 9, Denmark 8, Egypt 3, Germany 1185, Gibraltar 5, Greece 505, Hong Kong 48, India 8, Indonesia 4, Israel 34, Italy 47, Japan 110, Latvia 5, Lebanon 1, Monaco 8, Netherlands 31, Nigeria 4, Norway 38, Poland 13, Qatar 5, Romania 3, Russia 109, Saudi Arabia 20, Singapore 22, Slovenia 7, South Korea 2, Sweden 12, Switzerland 25, Syria 1, Taiwan 94, Turkey 16, UAE 37, UK 32, UK 22, Ukraine 10, Uruguay 1, US 53) (2010)"
Libya,"total: 23 
      
      
        by type: cargo 2, chemical tanker 4, liquefied gas 3, petroleum tanker 13, roll on/roll off 1 
      
      
        foreign-owned: 2 (Kuwait 1, Norway 1) 
      
      
        registered in other countries: 6 (Hong Kong 1, Malta 5) (2010)"
Lithuania,"total: 38 
      
      
        by type: cargo 20, container 1, passenger/cargo 6, refrigerated cargo 9, roll on/roll off 2 
      
      
        foreign-owned: 8 (Denmark 8) 
      
      
        registered in other countries: 22 (Antigua and Barbuda 3, Belize 1, Comoros 1, Cook Islands 1, Norway 1, Panama 3, Saint Vincent and the Grenadines 9, unknown 3) (2010)"
Luxembourg,"total: 49 
      
      
        by type: bulk carrier 2, cargo 3, chemical tanker 20, container 10, petroleum tanker 2, roll on/roll off 12 
      
      
        foreign-owned: 48 (Belgium 11, Denmark 1, France 15, Germany 9, Japan 3, Netherlands 3, Switzerland 1, UK 5) 
      
      
        registered in other countries: 18 (Italy 14, Malta 3, Panama 1) (2010)"
Madagascar,"total: 1 
      
      
        by type: cargo 1 
      
      
        registered in other countries: 1 (unknown 1) (2010)"
Malaysia,"total: 315 
      
      
        by type: bulk carrier 11, cargo 83, carrier 2, chemical tanker 47, container 41, liquefied gas 34, passenger/cargo 4, petroleum tanker 86, roll on/roll off 2, vehicle carrier 5 
      
      
        foreign-owned: 26 (Denmark 1, Hong Kong 8, Japan 2, Russia 2, Singapore 13) 
      
      
        registered in other countries: 82 (Bahamas 13, India 1, Indonesia 1, Isle of Man 6, Malta 1, Marshall Islands 11, Panama 12, Papua New Guinea 1, Philippines 1, Saint Kitts and Nevis 1, Singapore 27, Thailand 3, US 2, unknown 2) (2010)"
Maldives,"total: 18 
      
      
        by type: bulk carrier 1, cargo 14, petroleum tanker 1, refrigerated cargo 2 
      
      
        foreign-owned: 4 (Singapore 4) 
      
      
        registered in other countries: 4 (Panama 2, Tuvalu 1, unknown 1) (2010)"
Malta,"total: 1,650 
      
      
        by type: bulk carrier 544, cargo 351, carrier 1, chemical tanker 324, container 117, liquefied gas 36, passenger 50, passenger/cargo 18, petroleum tanker 160, refrigerated cargo 7, roll on/roll off 22, specialized tanker 2, vehicle carrier 18 
      
      
        foreign-owned: 1,437 (Angola 7, Azerbaijan 1, Belgium 7, Bermuda 15, Bulgaria 8, Canada 5, China 6, Croatia 6, Cyprus 32, Denmark 34, Egypt 1, Estonia 16, Finland 3,  France 8, Germany 135, Greece 469, Hong Kong 4, India 3, Iran 48, Ireland 4, Israel 3, Italy 45, Japan 5, Kuwait 3, Latvia 8, Lebanon 6, Libya 5, Luxembourg 3, Malaysia 1, Monaco 3, Netherlands 3, Norway 96, Oman 5, Poland 21, Portugal 3, Romania 7, Russia 45, Saudi Arabia 2, Singapore 4, Slovenia 4, South Korea 2, Spain 8, Sweden 1, Switzerland 20, Syria 4, Turkey 233, UAE 1, UK 21, Ukraine 29, US 34) 
      
      
        registered in other countries: 2 (Panama 2) (2010)"
Marshall Islands,"total: 1,593 
      
      
        by type: barge carrier 1, bulk carrier 524, cargo 65, carrier 1, chemical tanker 351, container 226, liquefied gas 88, passenger 7, passenger/cargo 1, petroleum tanker 297, refrigerated cargo 13, roll on/roll off 9, vehicle carrier 10 
      
      
        foreign-owned: 1,468 (Belgium 1, Bermuda 35, Brazil 1, Canada 8, China 14, Croatia 12, Cyprus 40, Denmark 7, Egypt 1, France 7, Germany 248, Greece 408, Hong Kong 3, India 10, Indonesia 1, Iraq 2, Ireland 6, Italy 1, Japan 59, Jersey 11, Kuwait 2, Latvia 19, Malaysia 11, Mexico 2, Monaco 30, Netherlands 21, Norway 75, Pakistan 1, Qatar 29, Romania 2, Russia 5, Singapore 30, Slovenia 6, South Korea 41, Sweden 1, Switzerland 12, Taiwan 8, Turkey 70, UAE 12, UK 12, Ukraine 1, US 200) (2010)"
Mauritius,"total: 4 
      
      
        by type: passenger/cargo 2, petroleum tanker 1, refrigerated cargo 1 (2010)"
Mexico,"total: 52 
      
      
        by type: bulk carrier 5, cargo 3, chemical tanker 11, liquefied gas 3, passenger/cargo 10, petroleum tanker 17, roll on/roll off 3 
      
      
        foreign-owned: 5 (France 1, Greece 2, South Africa 1, UAE 1) 
      
      
        registered in other countries: 12 (Antigua and Barbuda 1, Marshall Islands 2, Panama 5, Portugal 1, Spain 1, Venezuela 1, unknown 1) (2010)"
"Micronesia, Federated States of","total: 3 
      
      
        by type: cargo 1, passenger/cargo 2 (2010)"
Moldova,"total: 121 
      
      
        by type: bulk carrier 7, cargo 88, carrier 1, chemical tanker 3, passenger/cargo 7, petroleum tanker 2, refrigerated cargo 1, roll on/roll off 11, specialized tanker 1 
      
      
        foreign-owned: 63 (Bulgaria 1, Denmark 1, Egypt 5, Greece 1, Israel 2, Lebanon 1, Pakistan 1, Romania 2, Russia 5, Syria 5, Turkey 18, UK 3,  Ukraine 14, Yemen 4) (2010)"
Monaco,"registered in other countries: 64 (Bahamas 8, Bermuda 2, Liberia 8, Malta 3, Marshall Islands 30, Panama 11, Saint Vincent and the Grenadines 2) (2010)"
Mongolia,"total: 57 
      
      
        by type: bulk carrier 21, cargo 25, chemical tanker 1, container 2, liquefied gas 2, passenger/cargo 2, roll on/roll off 3, vehicle carrier 1 
      
      
        foreign-owned: 44 (Indonesia 2, Japan 2, North Korea 1, Russia 2, Singapore 3, Ukraine 1, Vietnam 33) (2010)"
Montenegro,"total: 2 
      
      
        by type: cargo 1, passenger/cargo 1 
      
      
        registered in other countries: 4 (Bahamas 2, Honduras 1, Slovakia 1) (2010)"
Morocco,"total: 26 
      
      
        by type: cargo 1, chemical tanker 3, container 6, passenger/cargo 14, roll on/roll off 2 
      
      
        foreign-owned: 14 (France 3, Germany 1, Italy 1, Spain 9) 
      
      
        registered in other countries: 4 (Gibraltar 4) (2010)"
Mozambique,"total: 2 
      
      
        by type: cargo 2 
      
      
        foreign-owned: 2 (Belgium 2) (2010)"
Namibia,"total: 1 
      
      
        by type: cargo 1 (2010)"
Netherlands,"total: 744 
      
      
        by type: bulk carrier 4, cargo 514, carrier 15, chemical tanker 56, container 67, liquefied gas 21, passenger 17, passenger/cargo 14, petroleum tanker 4, refrigerated cargo 10, roll on/roll off 19, specialized tanker 3 
      
      
        foreign-owned: 196 (Australia 1, Bermuda 1, Denmark 27, Finland 13, France 2, Germany 86, Ireland 8, Italy 6, Japan 1, Norway 19, Sweden 12, UAE 4, US 16) 
      
      
        registered in other countries: 233 (Antigua and Barbuda 17, Bahamas 23, Belize 1, Canada 1, Curacao 43, Cyprus 23, Germany 1, Gibraltar 34, Italy 2, Liberia 31, Luxembourg 3, Malta 3, Marshall Islands 21, Panama 6, Paraguay 1, Philippines 17, Russia 2, Saint Vincent and the Grenadines 1, Singapore 1, UK 1, unknown 1) (2010)"
New Caledonia,registered in other countries: 3 (France 3) (2010)
New Zealand,"total: 15 
      
      
        by type: bulk carrier 3, cargo 3, chemical tanker 1, container 1, passenger/cargo 5, petroleum tanker 2 
      
      
        foreign-owned: 7 (Germany 2, Hong Kong 1, South Africa 1, Switzerland 2, UK 1) 
      
      
        registered in other countries: 5 (Antigua and Barbuda 2, Cook Islands 2, Samoa 1) (2010)"
Nigeria,"total: 89 
      
      
        by type: cargo 2, chemical tanker 28, liquefied gas 1, passenger/cargo 1, petroleum tanker 56, specialized tanker 1 
      
      
        foreign-owned: 3 (India 1, UK 2) 
      
      
        registered in other countries: 33 (Bahamas 2, Bermuda 11, Comoros 1, Italy 1, Liberia 4, North Korea 1, Panama 6, Seychelles 1, unknown 6) (2010)"
Norway,"total: 585 
      
      
        by type: bulk carrier 55, cargo 105, carrier 5, chemical tanker 121, combination ore/oil 12, liquefied gas 47, passenger 3, passenger/cargo 121, petroleum tanker 54, refrigerated cargo 9, roll on/roll off 4, vehicle carrier 49 
      
      
        foreign-owned: 81 (Bermuda 24, Canada 1, Cyprus 1, Denmark 7, France 5, Iceland 2,  Lithuania 1, Saudi Arabia 3, Sweden 27, US 10) 
      
      
        registered in other countries: 974 (Antigua and Barbuda 9, Bahamas 186, Barbados 38, Belize 2, Bermuda 5, Brazil 3, Canada 4, Chile 1, Comoros 1, Cook Islands 8, Croatia 2, Curacao 2, Cyprus 14, Denmark 2, Dominica 1, Equatorial Guinea 1, Estonia 2, Faroe Islands 13, Gibraltar 46, Hong Kong 48, Indonesia 3, Isle of Man 30, Italy 6, Liberia 38, Libya 1, Malta 96, Marshall Islands 75, Netherlands 19, Panama 81, Portugal 2, Saint Kitts and Nevis 3, Saint Vincent and the Grenadines 13, Singapore 153, Spain 10, Sweden 3, UK 32, US 17, Vanuatu 1, unknown 3) (2010)"
Oman,"total: 5 
      
      
        by type: chemical tanker 1, passenger 1, passenger/cargo 3 
      
      
        registered in other countries: 15 (Malta 5, Panama 10) (2010)"
Pakistan,"total: 11 
      
      
        by type: bulk carrier 5, cargo 3, petroleum tanker 3 
      
      
        registered in other countries: 11 (Comoros 5, Marshall Islands 1, Moldova 1, Panama 3, Saint Kitts and Nevis 1) (2010)"
Panama,"total: 6,413 
      
      
        by type: barge carrier 1, bulk carrier 2,525, cargo 1,115, carrier 27, chemical tanker 588, combination ore/oil 1, container 742, liquefied gas 205, passenger 42, passenger/cargo 51, petroleum tanker 545, refrigerated cargo 191, roll on/roll off 87, specialized tanker 3, vehicle carrier 290 
      
      
        foreign-owned: 5,162 (Albania 4, Argentina 5, Australia 4, Bahamas 6, Bangladesh 5, Belgium 1, Bermuda 27, Brazil 3, Bulgaria 6, Burma 3, Canada 6, Chile 14, China 534, Colombia 2, Croatia 2, Cuba 2, Cyprus 5, Denmark 41, Ecuador 3, Egypt 11, Finland 2, France 7, Gabon 1, Germany 24, Gibraltar 1, Greece 379, Hong Kong 144, India 24, Indonesia 10, Iran 5, Ireland 1, Israel 1, Italy 25, Japan 2372, Jordan 11, Kuwait 12, Lebanon 2, Lithuania 3, Luxembourg 1, Malaysia 12, Maldives 2, Malta 2, Mexico 5, Monaco 11, Netherlands 6, Nigeria 6, Norway 81, Oman 10, Pakistan 3, Peru 9, Philippines 5, Portugal 10, Qatar 1, Romania 3, Russia 49, Saudi Arabia 11, Singapore 92, South Korea 373, Spain 30, Sweden 2, Switzerland 15, Syria 34, Taiwan 328, Tanzania 2, Thailand 6, Turkey 62, UAE 83, UK 37, Ukraine 8, US 90, Venezuela 13, Vietnam 43, Yemen 4) 
      
      
        registered in other countries: 1 (Honduras 1) (2010)"
Papua New Guinea,"total: 31 
      
      
        by type: bulk carrier 7, cargo 22, petroleum tanker 2 
      
      
        foreign-owned: 8 (Germany 1, Malaysia 1, UAE 6) (2010)"
Paraguay,"total: 19 
      
      
        by type: cargo 13, container 3, passenger 1, petroleum tanker 1, roll on/roll off 1 
      
      
        foreign-owned: 6 (Argentina 5, Netherlands 1) (2010)"
Peru,"total: 22 
      
      
        by type: cargo 2, chemical tanker 5, liquefied gas 2, petroleum tanker 13 
      
      
        foreign-owned: 8 (Chile 6, Ecuador 1, Spain 1) 
      
      
        registered in other countries: 9 (Panama 9) (2010)"
Philippines,"total: 446 
      
      
        by type: bulk carrier 76, cargo 152, carrier 12, chemical tanker 27, container 17, liquefied gas 5, passenger 7, passenger/cargo 65, petroleum tanker 44, refrigerated cargo 20, roll on/roll off 11, vehicle carrier 10 
      
      
        foreign-owned: 159 (Bermuda 47, China 4, Denmark 2, Germany 2, Greece 5, Japan 77, Malaysia 1, Netherlands 17, Singapore 1, South Korea 1, Taiwan 1, UAE 1) 
      
      
        registered in other countries: 7 (Cyprus 1, Panama 5, unknown 1) (2010)"
Poland,"total: 9 
      
      
        by type: cargo 7, chemical tanker 1, passenger/cargo 1 
      
      
        registered in other countries: 106 (Antigua and Barbuda 2, Bahamas 34, Cyprus 24, Liberia 13, Malta 21, Saint Vincent and the Grenadines 3, Vanuatu 9) (2010)"
Portugal,"total: 109 
      
      
        by type: bulk carrier 8, cargo 35, carrier 1, chemical tanker 21, container 7, liquefied gas 6, passenger 13, passenger/cargo 5, petroleum tanker 3, roll on/roll off 1, vehicle carrier 9 
      
      
        foreign-owned: 81 (Belgium 8, Colombia 1, Denmark 4, Germany 14, Greece 2, Italy 12, Japan 9, Mexico 1, Norway 2, Spain 18, Sweden 3, Switzerland 3, US 4) 
      
      
        registered in other countries: 15 (Cyprus 2, Malta 3, Panama 10) (2010)"
Qatar,"total: 28 
      
      
        by type: bulk carrier 3, chemical tanker 2, container 13, liquefied gas 6, petroleum tanker 4 
      
      
        foreign-owned: 6 (Kuwait 6) 
      
      
        registered in other countries: 35 (Liberia 5, Marshall Islands 29, Panama 1) (2010)"
Romania,"total: 5 
      
      
        by type: cargo 1, passenger/cargo 2, petroleum tanker 1, roll on/roll off 1 
      
      
        foreign-owned: 1 (Russia 1) 
      
      
        registered in other countries: 31 (Georgia 7, Liberia 3, Malta 7, Marshall Islands 2, Moldova 2, Panama 3, Russia 1, Saint Vincent and the Grenadines 1, Sierra Leone 2, Tanzania 1, Togo 1, unknown 1) (2010)"
Russia,"total: 1,143 
      
      
        by type: bulk carrier 20, cargo 642, carrier 3, chemical tanker 57, combination ore/oil 42, container 13, passenger 15, passenger/cargo 7, petroleum tanker 244, refrigerated cargo 84, roll on/roll off 13, specialized tanker 3 
      
      
        foreign-owned: 155 (Belgium 4, Cyprus 13, Estonia 1, Ireland 1, Italy 14, Latvia 2, Netherlands 2, Romania 1, South Korea 1, Switzerland 3, Turkey 101, Ukraine 12) 
      
      
        registered in other countries: 439 (Antigua and Barbuda 3, Belgium 1, Belize 30, Bulgaria 2, Cambodia 50, Comoros 12, Cook Islands 1, Cyprus 46, Dominica 3, Georgia 6, Hong Kong 1, Kiribati 1, Liberia 109, Malaysia 2, Malta 45, Marshall Islands 5, Moldova 5, Mongolia 2, Panama 49, Romania 1, Saint Kitts and Nevis 13, Saint Vincent and the Grenadines 11, Sierra Leone 7, Singapore 2, Spain 6, Vanuatu 7, unknown 19) (2010)"
Saint Kitts and Nevis,"total: 152 
      
      
        by type: bulk carrier 16, cargo 81, chemical tanker 4, combination ore/oil 1, container 2, liquefied gas 3, passenger 2, passenger/cargo 7, petroleum tanker 27, refrigerated cargo 4, roll on/roll off 4, specialized tanker 1 
      
      
        foreign-owned: 73 (Belgium 1, China 1, Egypt 1, Greece 2, India 2, Japan 2, Malaysia 1, Norway 3, Pakistan 1, Russia 13, Singapore 10, Turkey 18, UAE 8, UK 1, Ukraine 8, US 1) (2010)"
Saint Vincent and the Grenadines,"total: 412 
      
      
        by type: bulk carrier 64, cargo 263, carrier 14, chemical tanker 4, container 18, liquefied gas 3, passenger 2, passenger/cargo 7, petroleum tanker 9, refrigerated cargo 12, roll on/roll off 15, specialized tanker 1 
      
      
        foreign-owned: 325 (Austria 1, Azerbaijan 1, Bangladesh 1, Belgium 7, Bermuda 1,  Bulgaria 9, China 65, Croatia 8, Cyprus 3, Czech Republic 1, Denmark 9, Dominica 1, Egypt 2, Estonia 8, France 2, Germany 3, Greece 42, Guyana 2, Hong Kong 5, Israel 3, Italy 4, Japan 3, Kenya 2, Latvia 15, Lebanon 2, Lithuania 9, Monaco 2, Netherlands 1, Norway 13, Poland 3, Romania 1, Russia 11, Singapore 5, Slovenia 1, Sweden 10, Switzerland 7, Syria 9, Turkey 13, UAE 3, UK 6, Ukraine 12, US 18, Venezuela 1) (2010)"
Samoa,"total: 2 
      
      
        by type: cargo 1, passenger/cargo 1 
      
      
        foreign-owned: 1 (NZ 1) (2010)"
Sao Tome and Principe,"total: 3 
      
      
        by type: bulk carrier 1, cargo 2 
      
      
        foreign-owned: 2 (China 1, Greece 1) (2010)"
Saudi Arabia,"total: 72 
      
      
        by type: cargo 1, chemical tanker 25, container 4, liquefied gas 2, passenger/cargo 10, petroleum tanker 20, refrigerated cargo 3, roll on/roll off 7 
      
      
        foreign-owned: 15 (Egypt 1, Greece 4, Kuwait 4, UAE 6) 
      
      
        registered in other countries: 55 (Bahamas 16, Dominica 2, Liberia 20, Malta 2, Norway 3, Panama 11, Tanzania 1) (2010)"
Senegal,"total: 1 
      
      
        by type: passenger/cargo 1 (2010)"
Seychelles,"total: 9 
      
      
        by type: cargo 1, carrier 1, chemical tanker 6, petroleum tanker 1 
      
      
        foreign-owned: 3 (Hong Kong 1, Nigeria 1, South Africa 1) (2010)"
Sierra Leone,"total: 215 
      
      
        by type: bulk carrier 22, cargo 120, carrier 2, chemical tanker 19, container 6, liquefied gas 3, passenger/cargo 2, petroleum tanker 28, refrigerated cargo 7, roll on/roll off 4, specialized tanker 1, vehicle carrier 1 
      
      
        foreign-owned: 98 (Bangladesh 1, China 19, Cyprus 2, Egypt 3, Estonia 2, Hong Kong 7, Japan 4, Lebanon 2, North Korea 2, Romania 2, Russia 7, Singapore 9, Syria 13, Taiwan 7, Turkey 9, UAE 1, UK 1, Ukraine 5, Yemen 2) (2010)"
Singapore,"total: 1,599 
      
      
        by type: bulk carrier 247, cargo 109, carrier 6, chemical tanker 256, container 339, liquefied gas 131, petroleum tanker 436, refrigerated cargo 13, roll on/roll off 5, vehicle carrier 57 
      
      
        foreign-owned: 966 (Australia 12, Bangladesh 1, Belgium 1, Bermuda 25, Brazil 9, Chile 6, China 29, Cyprus 6, Denmark 149, France 3, Germany 32, Greece 22, Hong Kong 46,  India 21, Indonesia 60, Italy 5, Japan 164, Malaysia 27, Netherlands 1, Norway 153, Russia 2, South Africa 13, South Korea 3, Sweden 11, Switzerland 3, Taiwan 77, Thailand 33, UAE 10, UK 6, US 36) 
      
      
        registered in other countries: 344 (Australia 2, Bahamas 7, Bangladesh 7, Belize 4, Cambodia 3, Cyprus 1, France 3, Honduras 11, Hong Kong 13, Indonesia 46, Italy 1, Kiribati 9, Liberia 22, Malaysia 13, Maldives 4, Malta 4, Marshall Islands 30, Mongolia 3, North Korea 1, Panama 92, Philippines 1, Saint Kitts and Nevis 10, Saint Vincent and the Grenadines 5, Sierra Leone 9, Thailand 1, Tuvalu 19, US 16, Vanuatu 2, unknown 5) (2010)"
Slovakia,"total: 11 
      
      
        by type: cargo 9, refrigerated cargo 2 
      
      
        foreign-owned: 11 (Germany 3, Ireland 1, Italy 2,  Montenegro 1, Slovenia 1, Turkey 1, Ukraine 2) (2010)"
Slovenia,"registered in other countries: 24 (Cyprus 5, Liberia 7, Malta 4, Marshall Islands 6, Saint Vincent and the Grenadines 1, Slovakia 1) (2010)"
Somalia,"total: 1 
      
      
        by type: cargo 1 (2008)"
South Africa,"total: 3 
      
      
        by type: petroleum tanker 3 
      
      
        registered in other countries: 19 (Australia 1, Isle of Man 2, Mexico 1, NZ 1, Seychelles 1, Singapore 13) (2010)"
Spain,"total: 132 
      
      
        by type: bulk carrier 7, cargo 19, chemical tanker 8, container 5, liquefied gas 12, passenger/cargo 43, petroleum tanker 18, refrigerated cargo 4, roll on/roll off 9, vehicle carrier 7 
      
      
        foreign-owned: 27 (Canada 4, Germany 4, Italy 1, Mexico 1, Norway 10, Russia 6, Switzerland 1) 
      
      
        registered in other countries: 103 (Angola 1, Argentina 3, Bahamas 6, Brazil 12, Cabo Verde 1, Cyprus 6, Ireland 1, Malta 8, Morocco 9, Panama 30, Peru 1, Portugal 18, Uruguay 5, Venezuela 1, unknown 1) (2010)"
Sri Lanka,"total: 21 
      
      
        by type: bulk carrier 4, cargo 13, chemical tanker 1, container 1, petroleum tanker 2 
      
      
        foreign-owned: 8 (Germany 8) (2010)"
Sudan,"total: 2 
      
      
        by type: cargo 2 (2010)"
Sweden,"total: 135 
      
      
        by type: bulk carrier 4, cargo 16, carrier 1, chemical tanker 15, passenger 5, passenger/cargo 36, petroleum tanker 11, roll on/roll off 30, vehicle carrier 17 
      
      
        foreign-owned: 35 (Denmark 4, Estonia 3, Finland 16, Germany 3, Ireland 1, Italy 5, Norway 3) 
      
      
        registered in other countries: 189 (Bahamas 11, Barbados 4, Bermuda 14, Canada 2, Cook Islands 3, Cyprus 5, Denmark 15, Faroe Islands 11, Finland 1, France 4, Gibraltar 11, Italy 1, Liberia 12, Malta 1, Marshall Islands 1, Netherlands 12, Norway 27, Panama 2, Portugal 3, Saint Vincent and the Grenadines 10, Singapore 11, UK 28) (2010)"
Switzerland,"total: 38 
      
      
        by type: bulk carrier 19, cargo 9, chemical tanker 5, container 4, petroleum tanker 1 
      
      
        registered in other countries: 127 (Antigua and Barbuda 7, Bahamas 1, Belize 1, Cayman Islands 1, France 5, Germany 2, Hong Kong 5, Italy 13, Liberia 25, Luxembourg 1, Malta 20, Marshall Islands 12, NZ 2, Panama 15, Portugal 3, Russia 3, Saint Vincent and the Grenadines 7, Singapore 3, Spain 1) (2010)"
Syria,"total: 19 
      
      
        by type: bulk carrier 4, cargo 14, carrier 1 
      
      
        registered in other countries: 166 (Barbados 1, Belize 4, Bolivia 4, Cambodia 22, Comoros 5, Dominica 4, Georgia 24, Lebanon 2, Liberia 1, Malta 4, Moldova 5, North Korea 4, Panama 34, Saint Vincent and the Grenadines 9, Sierra Leone 13, Tanzania 23, Togo 6, unknown 1) (2010)"
Taiwan,"total: 112 
      
      
        by type: bulk carrier 35, cargo 20, chemical tanker 1, container 31, passenger/cargo 4, petroleum tanker 12, refrigerated cargo 7, roll on/roll off 2 
      
      
        foreign-owned: 3 (France 2, Vietnam 1) 
      
      
        registered in other countries: 579 (Argentina 2, Cambodia 1, Honduras 1, Hong Kong 25, Indonesia 1, Italy 10, Kiribati 2, Liberia 94, Marshall Islands 8, Panama 328, Philippines 1, Sierra Leone 7, Singapore 77, South Korea 1, Thailand 1, UK 11, Vanuatu 1, unknown 8) (2010)"
Tanzania,"total: 94 
      
      
        by type: bulk carrier 6, cargo 66, carrier 4, chemical tanker 1, container 1, passenger/cargo 2, petroleum tanker 10, refrigerated cargo 1, roll on/roll off 3 
      
      
        foreign-owned: 42 (Japan 1, Romania 1, Saudi Arabia 1, Syria 23, Turkey 13, UAE 3) 
      
      
        registered in other countries: 3 (Panama 2, UK 1) (2010)"
Thailand,"total: 363 
      
      
        by type: bulk carrier 31, cargo 99, chemical tanker 28, container 18, liquefied gas 36, passenger 1, passenger/cargo 10, petroleum tanker 114, refrigerated cargo 24, roll on/roll off 1, vehicle carrier 1 
      
      
        foreign-owned: 13 (China 1, Hong Kong 1, Malaysia 3, Singapore 1, Taiwan 1, UK 6) 
      
      
        registered in other countries: 46 (Bahamas 4, Belize 1, Honduras 2, Panama 6, Singapore 33) (2010)"
Timor-Leste,"total: 1 
      
      
        by type: passenger/cargo 1 (2010)"
Togo,"total: 61 
      
      
        by type: bulk carrier 6, cargo 38, carrier 3, chemical tanker 5, container 3, passenger/cargo 1, petroleum tanker 3, refrigerated cargo 1, roll on/roll off 1 
      
      
        foreign-owned: 21 (China 1, Lebanon 6, Romania 1, Syria 6, Turkey 4, UAE 1, US 1, Yemen 1) (2010)"
Tonga,"total: 7 
      
      
        by type: cargo 4, carrier 1, passenger/cargo 2 
      
      
        foreign-owned: 2 (Australia 1, UK 1) (2010)"
Trinidad and Tobago,"total: 4 
      
      
        by type: passenger 1, passenger/cargo 2, petroleum tanker 1 
      
      
        registered in other countries: 2 (unknown 2) (2010)"
Tunisia,"total: 9 
      
      
        by type: bulk carrier 1, cargo 2, passenger/cargo 4, roll on/roll off 2 (2010)"
